"p1","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","subject_id","session_id","trial_n","free_param","type","AIC","cAIC"
2.59815990787173,244.206755039458,11,11,NA,0,TRUE,TRUE,1.19999999999999,3,8,578,1,"fit_glaze_osc_zeta_v4_no_integration_mouse",490.413510078915,490.42045452336
4.47468114188104,280.97763117836,11,11,NA,0,TRUE,TRUE,1.38,3,9,703,1,"fit_glaze_osc_zeta_v4_no_integration_mouse",563.95526235672,563.960968490814
7.35845021787173,272.899194194514,10,10,NA,0,TRUE,TRUE,1.10999999999999,3,10,612,1,"fit_glaze_osc_zeta_v4_no_integration_mouse",547.798388389029,547.804945766078
4.93756047379684,315.380744049313,9,9,NA,0,TRUE,TRUE,1.02000000000001,3,11,617,1,"fit_glaze_osc_zeta_v4_no_integration_mouse",632.761488098625,632.767992163666
1.91295034254196,537.807520580636,10,10,NA,0,TRUE,TRUE,2.00999999999999,4,4,1056,1,"fit_glaze_osc_zeta_v4_no_integration_mouse",1077.61504116127,1077.61883622769
1.70369209965149,546.583700468961,10,10,NA,0,TRUE,TRUE,1.81,4,5,949,1,"fit_glaze_osc_zeta_v4_no_integration_mouse",1095.16740093792,1095.17162480276
2.69001071859455,664.558357714972,10,10,NA,0,TRUE,TRUE,2.5,4,7,1224,1,"fit_glaze_osc_zeta_v4_no_integration_mouse",1331.11671542994,1331.11998875237
2.81561872710823,436.066488674988,10,10,NA,0,TRUE,TRUE,1.43000000000001,4,9,753,1,"fit_glaze_osc_zeta_v4_no_integration_mouse",874.132977349976,874.138303581668
3.02944093768797,392.583522991234,11,11,NA,0,TRUE,TRUE,1.41999999999999,4,13,705,1,"fit_glaze_osc_zeta_v4_no_integration_mouse",787.167045982467,787.172735882894
2.2277614571089,60.1226827815024,10,10,NA,0,TRUE,TRUE,0.22999999999999,4,14,135,1,"fit_glaze_osc_zeta_v4_no_integration_mouse",122.245365563005,122.275440750975
2.38824469959035,128.756704392775,11,11,NA,0,TRUE,TRUE,0.579999999999984,4,16,309,1,"fit_glaze_osc_zeta_v4_no_integration_mouse",259.51340878555,259.526438101511
2.73194012060182,179.382432615512,10,10,NA,0,TRUE,TRUE,0.859999999999985,4,17,417,1,"fit_glaze_osc_zeta_v4_no_integration_mouse",360.764865231023,360.77450378524
3.12355292533365,412.023728677375,11,11,NA,0,TRUE,TRUE,1.63999999999999,4,18,732,1,"fit_glaze_osc_zeta_v4_no_integration_mouse",826.047457354751,826.052936806805
1.44243162490853,24.7274145305641,7,7,NA,0,TRUE,TRUE,0.0600000000000023,4,27,38,1,"fit_glaze_osc_zeta_v4_no_integration_mouse",51.4548290611282,51.5659401722393
2.17647439850874,37.9078410810363,8,8,NA,0,TRUE,TRUE,0.109999999999957,4,35,65,1,"fit_glaze_osc_zeta_v4_no_integration_mouse",77.8156821620726,77.8791742255647
2.45410853039495,396.167371046729,11,11,NA,0,TRUE,TRUE,1.88,5,15,889,1,"fit_glaze_osc_zeta_v4_no_integration_mouse",794.334742093458,794.339251676321
3.19076885254498,336.508630375943,10,10,NA,0,TRUE,TRUE,1.58999999999997,5,16,809,1,"fit_glaze_osc_zeta_v4_no_integration_mouse",675.017260751885,675.022217381377
3.68789848962747,454.841560812128,11,11,NA,0,TRUE,TRUE,2.38999999999999,5,17,1106,1,"fit_glaze_osc_zeta_v4_no_integration_mouse",911.683121624256,911.686744812661
2.3110838066857,458.24819255656,10,10,NA,0,TRUE,TRUE,1.41000000000003,5,18,768,1,"fit_glaze_osc_zeta_v4_no_integration_mouse",918.49638511312,918.501607045235
2.5062841004421,285.142616571666,11,11,NA,0,TRUE,TRUE,0.990000000000009,5,20,488,1,"fit_glaze_osc_zeta_v4_no_integration_mouse",572.285233143333,572.293463596007
2.96977141518756,357.218843215404,10,10,NA,0,TRUE,TRUE,1.09999999999997,5,21,624,1,"fit_glaze_osc_zeta_v4_no_integration_mouse",716.437686430809,716.444117298976
3.42569922938025,434.859228227851,10,10,NA,0,TRUE,TRUE,1.47000000000003,5,31,797,1,"fit_glaze_osc_zeta_v4_no_integration_mouse",871.718456455701,871.723487902242
7.74760178497779,193.040329896802,9,9,NA,0,TRUE,TRUE,0.590000000000032,5,32,434,1,"fit_glaze_osc_zeta_v4_no_integration_mouse",388.080659793604,388.089919052864
2.64208627480273,298.441644519223,11,11,NA,0,TRUE,TRUE,1.04000000000002,5,33,518,1,"fit_glaze_osc_zeta_v4_no_integration_mouse",598.883289038447,598.891040976431
2.64508399415035,35.4053985907695,10,10,NA,0,TRUE,TRUE,0.0800000000000409,5,56,60,1,"fit_glaze_osc_zeta_v4_no_integration_mouse",72.8107971815389,72.8797626987803
2.1697365426566,286.25627179202,10,10,NA,0,TRUE,TRUE,1.06,6,24,565,1,"fit_glaze_osc_zeta_v4_no_integration_mouse",574.51254358404,574.519648379777
4.08033797164759,248.887191660749,11,11,NA,0,TRUE,TRUE,1.19999999999999,6,25,645,1,"fit_glaze_osc_zeta_v4_no_integration_mouse",499.774383321497,499.780604161311
3.92432174577665,318.33570787747,11,11,NA,0,TRUE,TRUE,1.25999999999999,6,26,623,1,"fit_glaze_osc_zeta_v4_no_integration_mouse",638.67141575494,638.677856978773
4.452186960561,301.72959075709,10,10,NA,0,TRUE,TRUE,0.980000000000018,6,27,600,1,"fit_glaze_osc_zeta_v4_no_integration_mouse",605.45918151418,605.465870477391
10.0232876713523,265.468481394496,9,9,NA,0,TRUE,TRUE,1.13999999999999,6,28,655,1,"fit_glaze_osc_zeta_v4_no_integration_mouse",532.936962788991,532.943088363264
7.89666226927904,281.091630193314,9,9,NA,0,TRUE,TRUE,1.04000000000002,6,29,609,1,"fit_glaze_osc_zeta_v4_no_integration_mouse",564.183260386628,564.18985017246
