"subject_id","value.fit_glaze_osc_zeta_v4","value.fit_glaze_osc_zeta_v4_one_amp","value.fit_glaze_osc_zeta_v4_LLR_amp","value.fit_glaze_osc_zeta_v4_Prior_amp","value.fit_glaze_osc_zeta_v4_no_amp","value.fit_glaze_osc_zeta_v4_no_integration"
238,NA,1895.59862530387,1881.67930104477,NA,1858.30831835716,1870.39208645865
239,2026.08029871027,1989.01680765941,NA,NA,1991.11810683052,1998.18493343327
240,1919.59291922426,NA,1878.77847688053,1879.12116978981,1879.12151032294,1883.25059823373
241,1900.96586764731,1894.07932941281,NA,1860.95039227115,1861.20903219492,1867.37428479934
242,NA,1790.98127796585,1790.73193912303,1790.92051084597,1790.98127656591,1791.02785884172
243,NA,NA,1820.74978895799,NA,1807.61531142673,1810.86113708412
244,1783.59352165939,1784.07450066573,1784.06151193634,1784.42284618757,1784.13909782665,1784.4227617812
245,2145.52830513241,1800.32620136898,1841.62633385925,2245.40816161166,1800.55531578659,1801.2786607069
246,NA,NA,1913.87997402493,1883.22517752946,1883.3532192691,1883.5813773319
247,1954.31802179409,1926.45916053194,NA,1886.37646331808,1887.5724504153,1889.29252275512
248,NA,1943.37431937249,1842.98752149217,NA,1804.37294158611,1804.84545565099
249,2167.07349046794,NA,1889.44307487494,NA,1889.4430755228,1889.44368977466
250,115.399567473647,116.386575299438,97.4491010139679,119.930128953954,128.808640823284,132.812825312822
251,NA,73.4549168755262,72.7527943216815,74.7740670468427,75.3244719314848,75.3540322512936
252,98.5637077580033,99.6547324515064,100.985450438712,95.7091949639281,100.985086586967,102.791334123457
253,105.235846536807,121.771803713812,130.91823853003,121.864509382129,131.922463484406,123.00829088987
254,108.339202361589,NA,108.349122457854,137.588965774534,123.673986380679,138.269219800358
255,128.005735323971,126.376541942966,122.986493475062,128.336516615907,128.690708322709,128.859275153046
256,NA,102.558932270284,102.513859582388,NA,110.750314172008,112.467028923767
257,73.4133850657712,73.43449815233,74.7210389964127,73.7755404080787,74.7209942402991,75.3540322512936
258,NA,90.4063276996654,NA,NA,94.9725420573246,131.791136136613
259,131.596914292595,131.9593853157,127.607165989619,132.563311116378,129.73011915451,130.097401877019
260,NA,73.2803096121395,72.3644539713365,72.9876287046272,74.9950125960943,75.3540322512936
261,116.871965384458,117.621775947129,122.457919941826,116.78962833327,124.619302014837,126.116205677203
262,97.1967562723555,97.9511528039044,101.928670191548,103.430539913349,104.086514282752,104.101276895109
