"p1","p2","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","subject_id","trial_n","free_param","type","AIC","cAIC"
0.484505513748807,5.08162408997125,1870.39208645863,9,9,NA,0,TRUE,FALSE,14.12,238,3500,2,"fit_glaze_osc_zeta_v1_no_integration",3744.78417291726,3744.78760442999
0.46784963796365,5.08814403495075,1998.18493343327,9,9,NA,0,TRUE,FALSE,14.67,239,3679,2,"fit_glaze_osc_zeta_v1_no_integration",4000.36986686653,4000.37313128438
0.485890168291653,5.08720209308984,1883.25059823372,9,9,NA,0,TRUE,FALSE,14.64,240,3531,2,"fit_glaze_osc_zeta_v1_no_integration",3770.50119646744,3770.50459782799
0.502107020644992,5.092815058388,1867.37428479933,9,9,NA,0,TRUE,FALSE,13.91,241,3563,2,"fit_glaze_osc_zeta_v1_no_integration",3738.74856959866,3738.75194038518
0.516606620421046,5.08285851277551,1791.02785884166,9,9,NA,0,TRUE,FALSE,12.8,242,3467,2,"fit_glaze_osc_zeta_v1_no_integration",3586.05571768332,3586.05918188656
0.510072464748697,5.07779016036265,1810.86113708404,16,16,NA,0,TRUE,FALSE,23.14,243,3479,2,"fit_glaze_osc_zeta_v1_no_integration",3625.72227416808,3625.72572641204
0.510654764414228,5.08772891346277,1784.42276178117,9,9,NA,0,TRUE,FALSE,13.42,244,3434,2,"fit_glaze_osc_zeta_v1_no_integration",3572.84552356234,3572.84902108493
0.523741719410419,5.08806832359419,1801.27866070684,9,9,NA,0,TRUE,FALSE,13.3,245,3516,2,"fit_glaze_osc_zeta_v1_no_integration",3606.55732141369,3606.56073729755
0.504522449824699,5.0924456239622,1883.58137733188,9,9,NA,0,TRUE,FALSE,14.25,246,3603,2,"fit_glaze_osc_zeta_v1_no_integration",3771.16275466377,3771.1660879971
0.486897252803565,5.08433572550121,1889.2925227551,9,9,NA,0,TRUE,FALSE,15.1099999999999,247,3545,2,"fit_glaze_osc_zeta_v1_no_integration",3782.5850455102,3782.58843342664
0.51802650282254,5.09293192126463,1804.84545565096,9,9,NA,0,TRUE,FALSE,13.49,248,3503,2,"fit_glaze_osc_zeta_v1_no_integration",3613.69091130192,3613.69433987335
0.502878713987007,5.08736410335128,1889.4436897746,9,9,NA,0,TRUE,FALSE,13.86,249,3606,2,"fit_glaze_osc_zeta_v1_no_integration",3782.8873795492,3782.89071010707
0.195968520189795,4.99619504607813,132.812825312823,8,8,NA,0,TRUE,FALSE,0.480000000000018,250,200,2,"fit_glaze_osc_zeta_v1_no_integration",269.625650625646,269.68656433123
0.791632662460283,4.91619657939768,75.3540322512934,11,11,NA,0,TRUE,FALSE,0.720000000000027,251,200,2,"fit_glaze_osc_zeta_v1_no_integration",154.708064502587,154.768978208171
0.533392234717548,4.96792205510253,102.791334123445,49,49,NA,52,TRUE,FALSE,3.27999999999997,252,200,2,"fit_glaze_osc_zeta_v1_no_integration",209.582668246891,209.643581952474
0.329733267526972,4.99555585656209,123.008290889873,8,8,NA,0,TRUE,FALSE,0.529999999999973,253,200,2,"fit_glaze_osc_zeta_v1_no_integration",250.016581779745,250.077495485329
0.0480569946591226,5.00007856341488,138.269219800348,6,6,NA,0,TRUE,FALSE,0.370000000000005,254,200,2,"fit_glaze_osc_zeta_v1_no_integration",280.538439600696,280.59935330628
0.256560753318268,4.99757762913219,128.859275153048,8,8,NA,0,TRUE,FALSE,0.520000000000095,255,200,2,"fit_glaze_osc_zeta_v1_no_integration",261.718550306096,261.77946401168
0.439004097021111,5.00502302342772,112.467028923767,8,8,NA,0,TRUE,FALSE,0.439999999999941,256,200,2,"fit_glaze_osc_zeta_v1_no_integration",228.934057847533,228.994971553117
0.789812440904126,4.92752659633157,75.3540322512936,11,11,NA,0,TRUE,FALSE,0.700000000000045,257,200,2,"fit_glaze_osc_zeta_v1_no_integration",154.708064502587,154.768978208171
0.21283382859542,5.00125524545317,131.791136136654,6,6,NA,0,TRUE,FALSE,0.350000000000023,258,200,2,"fit_glaze_osc_zeta_v1_no_integration",267.582272273309,267.643185978892
0.238882828398346,4.99937842093374,130.09740187702,8,8,NA,0,TRUE,FALSE,0.480000000000018,259,200,2,"fit_glaze_osc_zeta_v1_no_integration",264.194803754041,264.255717459624
0.791632662460275,4.91619657939797,75.3540322512934,11,11,NA,0,TRUE,FALSE,0.470000000000027,260,200,2,"fit_glaze_osc_zeta_v1_no_integration",154.708064502587,154.768978208171
0.29247677996819,4.99792066938919,126.116205677206,8,8,NA,0,TRUE,FALSE,0.509999999999991,261,200,2,"fit_glaze_osc_zeta_v1_no_integration",256.232411354412,256.293325059995
0.523053587985526,4.95186843925625,104.101276895106,10,10,NA,0,TRUE,FALSE,0.6099999999999,262,200,2,"fit_glaze_osc_zeta_v1_no_integration",212.202553790211,212.263467495795
0.520289136579938,4.97817909843208,104.101276895105,9,9,NA,0,TRUE,FALSE,0.529999999999973,263,200,2,"fit_glaze_osc_zeta_v1_no_integration",212.20255379021,212.263467495794
0.752581038734131,4.93622704898375,79.1564320793806,11,11,NA,0,TRUE,FALSE,0.720000000000027,264,200,2,"fit_glaze_osc_zeta_v1_no_integration",162.312864158761,162.373777864345
0.170536366920426,5.00002340690391,134.186436947508,7,7,NA,0,TRUE,FALSE,0.360000000000014,265,200,2,"fit_glaze_osc_zeta_v1_no_integration",272.372873895016,272.4337876006
0.292410801386265,4.99904838284567,126.116205677206,8,8,NA,0,TRUE,FALSE,0.419999999999959,266,200,2,"fit_glaze_osc_zeta_v1_no_integration",256.232411354412,256.293325059995
