"p1","p2","p3","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","subject_id","trial_n","free_param","type","AIC","cAIC"
0.415986922723983,0.480885003201547,5.12717546626126,1858.30911110096,18,18,NA,0,TRUE,FALSE,37.58,238,3500,3,"fit_glaze_osc_zeta_v1_no_amp",3722.61822220192,3722.62508719048
0.563221711981475,0.519675875851367,4.59449933845555,1991.11526684893,18,18,NA,0,TRUE,FALSE,42.36,239,3679,3,"fit_glaze_osc_zeta_v1_no_amp",3988.23053369785,3988.2370643101
0.548575822852469,0.546991580199921,4.53840915085991,1879.1220485748,22,22,NA,0,TRUE,FALSE,45.79,240,3531,3,"fit_glaze_osc_zeta_v1_no_amp",3764.24409714961,3764.25090179945
0.556349090042835,0.568980216240626,4.5174942561195,1861.20920827736,18,18,NA,0,TRUE,FALSE,38.71,241,3563,3,"fit_glaze_osc_zeta_v1_no_amp",3728.41841655472,3728.42516002198
0.504719444536219,0.522515752148373,5.02719978142458,1790.98127656591,12,12,NA,0,TRUE,FALSE,24.8299999999999,242,3467,3,"fit_glaze_osc_zeta_v1_no_amp",3587.96255313181,3587.96948353897
0.4581382677264,0.523696558285835,4.94728219839891,1807.61531142673,13,13,NA,0,TRUE,FALSE,26.99,243,3479,3,"fit_glaze_osc_zeta_v1_no_amp",3621.23062285346,3621.23752932828
0.51252698342551,0.557262089424176,4.66291555083037,1784.13909108697,18,18,NA,0,TRUE,FALSE,36.33,244,3434,3,"fit_glaze_osc_zeta_v1_no_amp",3574.27818217394,3574.28517925849
0.518675593863927,0.556405901026385,4.78868702291755,1800.55532342379,18,18,NA,0,TRUE,FALSE,35.9699999999999,245,3516,3,"fit_glaze_osc_zeta_v1_no_amp",3607.11064684759,3607.11748056057
0.510533836994997,0.552443418496612,4.65022435931909,1883.35322735945,18,18,NA,0,TRUE,FALSE,37.5600000000001,246,3603,3,"fit_glaze_osc_zeta_v1_no_amp",3772.70645471889,3772.71312323793
0.471172483845792,0.484723441226585,5.1110610191076,1887.57239378763,17,17,NA,0,TRUE,FALSE,34.0100000000001,247,3545,3,"fit_glaze_osc_zeta_v1_no_amp",3781.14478757527,3781.15156532166
0.515011933235654,0.573384613847125,4.60080300853129,1804.37290459637,18,18,NA,0,TRUE,FALSE,34.9000000000001,248,3503,3,"fit_glaze_osc_zeta_v1_no_amp",3614.74580919274,3614.75266829534
0.49941982041495,0.685899423952322,3.73001934135402,1889.44307527573,26,26,NA,0,TRUE,FALSE,54.5,249,3606,3,"fit_glaze_osc_zeta_v1_no_amp",3784.88615055146,3784.89281351648
0.0863997950109079,0.164547920236104,5.00178726019423,128.808630834115,14,14,NA,0,TRUE,FALSE,1.38999999999999,250,200,3,"fit_glaze_osc_zeta_v1_no_amp",263.61726166823,263.739710647822
0.486294974292637,0.787254472595421,4.94527854352247,75.3244718840176,16,16,NA,0,TRUE,FALSE,1.48000000000002,251,200,3,"fit_glaze_osc_zeta_v1_no_amp",156.648943768035,156.771392747627
0.363710160191906,0.533235915965646,5.01422800162354,100.985354239227,14,14,NA,0,TRUE,TRUE,1.25,252,200,3,"fit_glaze_osc_zeta_v1_no_amp",207.970708478455,208.093157458046
0.0208702195181363,0.0711909730083031,5.001173939603,131.92246343324,18,18,NA,0,FALSE,FALSE,1.60000000000002,253,200,3,"fit_glaze_osc_zeta_v1_no_amp",269.84492686648,269.967375846071
0.01,0.0838581614748367,5.00163685814772,123.674047341114,10,10,NA,0,FALSE,TRUE,0.920000000000073,254,200,3,"fit_glaze_osc_zeta_v1_no_amp",253.348094682227,253.470543661819
0.44359811948689,0.269506121427513,4.79724156390878,128.690708322709,18,18,NA,0,TRUE,FALSE,1.59000000000003,255,200,3,"fit_glaze_osc_zeta_v1_no_amp",263.381416645419,263.503865625011
0.376666667426699,0.44626794797534,4.98627606119115,110.750331721332,17,17,NA,0,TRUE,FALSE,1.65999999999997,256,200,3,"fit_glaze_osc_zeta_v1_no_amp",227.500663442665,227.623112422257
0.559833194466341,0.787154034574964,4.99406962640162,74.7210526130318,16,16,NA,0,TRUE,FALSE,1.38999999999999,257,200,3,"fit_glaze_osc_zeta_v1_no_amp",155.442105226064,155.564554205655
0.01,0.131633541338834,5.00890511906375,94.9728707315935,15,15,NA,0,FALSE,TRUE,1.30999999999995,258,200,3,"fit_glaze_osc_zeta_v1_no_amp",195.945741463187,196.068190442779
0.403920930863671,0.23896487933059,5.01480494074616,129.73011915451,13,13,NA,0,TRUE,FALSE,1.15999999999997,259,200,3,"fit_glaze_osc_zeta_v1_no_amp",265.46023830902,265.582687288612
0.542435899983394,0.777276790903557,5.00116998163193,74.9950368930178,19,19,NA,0,TRUE,FALSE,1.86000000000001,260,200,3,"fit_glaze_osc_zeta_v1_no_amp",155.990073786036,156.112522765627
0.263704719469145,0.275726133840999,4.96669315227605,124.619346423965,18,18,NA,0,TRUE,FALSE,1.77999999999997,261,200,3,"fit_glaze_osc_zeta_v1_no_amp",255.23869284793,255.361141827522
0.487733793145212,0.532212335732039,4.86222953429576,104.086514282752,14,14,NA,0,TRUE,FALSE,1.13999999999987,262,200,3,"fit_glaze_osc_zeta_v1_no_amp",214.173028565505,214.295477545097
0.375187930508752,0.531594116835464,5.00587397223393,101.719051282177,18,18,NA,0,TRUE,FALSE,1.52999999999997,263,200,3,"fit_glaze_osc_zeta_v1_no_amp",209.438102564354,209.560551543946
