"p1","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","subject_id","trial_n","free_param","type","AIC","cAIC"
2.4620736920902,1870.39208645853,8,8,NA,0,TRUE,TRUE,7.47,238,3500,1,"fit_glaze_osc_zeta_v4_no_integration",3742.78417291706,3742.78531642764
2.3804852166738,1998.18493343316,8,8,NA,0,TRUE,TRUE,8.05000000000001,239,3679,1,"fit_glaze_osc_zeta_v4_no_integration",3998.36986686632,3998.37095470967
2.47182026313902,1883.25059823362,8,8,NA,0,TRUE,TRUE,7.01999999999998,240,3531,1,"fit_glaze_osc_zeta_v4_no_integration",3768.50119646724,3768.50232993281
2.55713684085043,1867.37428479923,8,8,NA,0,TRUE,TRUE,7.25,241,3563,1,"fit_glaze_osc_zeta_v4_no_integration",3736.74856959846,3736.74969287843
2.62583749096839,1791.0278588416,9,9,NA,0,TRUE,TRUE,8.39000000000004,242,3467,1,"fit_glaze_osc_zeta_v4_no_integration",3584.0557176832,3584.05687208436
2.59004004930032,1810.86113708401,8,8,NA,0,TRUE,TRUE,7.40999999999997,243,3479,1,"fit_glaze_osc_zeta_v4_no_integration",3623.72227416803,3623.72342458505
2.59807158034375,1784.42276178108,8,8,NA,0,TRUE,TRUE,7.82999999999998,244,3434,1,"fit_glaze_osc_zeta_v4_no_integration",3570.84552356215,3570.84668906332
2.66483273629872,1801.27866070678,9,9,NA,0,TRUE,TRUE,7.95999999999998,245,3516,1,"fit_glaze_osc_zeta_v4_no_integration",3604.55732141355,3604.55845971748
2.56925176959689,1883.58137733178,8,8,NA,0,TRUE,TRUE,7.95000000000005,246,3603,1,"fit_glaze_osc_zeta_v4_no_integration",3769.16275466356,3769.16386546612
2.47554788064395,1889.292522755,8,8,NA,0,TRUE,TRUE,7.63999999999999,247,3545,1,"fit_glaze_osc_zeta_v4_no_integration",3780.58504551,3780.58617449674
2.63827257606522,1804.84545565086,9,9,NA,0,TRUE,TRUE,8.44,248,3503,1,"fit_glaze_osc_zeta_v4_no_integration",3611.69091130172,3611.69205383242
2.55832581063501,1889.44368977451,8,8,NA,0,TRUE,TRUE,7.21999999999997,249,3606,1,"fit_glaze_osc_zeta_v4_no_integration",3780.88737954901,3780.88848942692
0.979096509463816,132.812825312822,6,6,NA,0,TRUE,TRUE,0.21999999999997,250,200,1,"fit_glaze_osc_zeta_v4_no_integration",267.625650625643,267.645852645845
3.89182036063545,75.3540322512874,10,10,NA,0,TRUE,TRUE,0.370000000000005,251,200,1,"fit_glaze_osc_zeta_v4_no_integration",152.708064502575,152.728266522777
2.64985087783718,102.791334123445,9,9,NA,0,TRUE,TRUE,0.300000000000011,252,200,1,"fit_glaze_osc_zeta_v4_no_integration",207.58266824689,207.602870267092
1.64720051493394,123.00829088987,7,7,NA,0,TRUE,TRUE,0.25,253,200,1,"fit_glaze_osc_zeta_v4_no_integration",248.01658177974,248.036783799942
0.240288628639248,138.269219800348,5,5,NA,0,TRUE,TRUE,0.170000000000016,254,200,1,"fit_glaze_osc_zeta_v4_no_integration",278.538439600696,278.558641620898
1.28218166358522,128.859275153046,7,7,NA,0,TRUE,TRUE,0.25,255,200,1,"fit_glaze_osc_zeta_v4_no_integration",259.718550306091,259.738752326293
2.19722460979447,112.467028923762,8,8,NA,0,TRUE,TRUE,0.259999999999991,256,200,1,"fit_glaze_osc_zeta_v4_no_integration",226.934057847523,226.954259867725
3.89182036063367,75.3540322512874,10,10,NA,0,TRUE,TRUE,0.360000000000014,257,200,1,"fit_glaze_osc_zeta_v4_no_integration",152.708064502575,152.728266522777
1.06443383402029,131.791136136613,6,6,NA,0,TRUE,TRUE,0.189999999999998,258,200,1,"fit_glaze_osc_zeta_v4_no_integration",265.582272273226,265.602474293428
1.19426507888359,130.097401877018,7,7,NA,0,TRUE,TRUE,0.25,259,200,1,"fit_glaze_osc_zeta_v4_no_integration",262.194803754036,262.215005774238
3.89182036063545,75.3540322512874,10,10,NA,0,TRUE,TRUE,0.339999999999975,260,200,1,"fit_glaze_osc_zeta_v4_no_integration",152.708064502575,152.728266522777
1.46177506353255,126.116205677203,7,7,NA,0,TRUE,TRUE,0.25,261,200,1,"fit_glaze_osc_zeta_v4_no_integration",254.232411354406,254.252613374608
2.59009114149912,104.1012768951,8,8,NA,0,TRUE,TRUE,0.299999999999955,262,200,1,"fit_glaze_osc_zeta_v4_no_integration",210.2025537902,210.222755810402
2.59009114150029,104.1012768951,8,8,NA,0,TRUE,TRUE,0.310000000000002,263,200,1,"fit_glaze_osc_zeta_v4_no_integration",210.2025537902,210.222755810402
3.71490971560421,79.1564320793749,9,9,NA,0,TRUE,TRUE,0.28000000000003,264,200,1,"fit_glaze_osc_zeta_v4_no_integration",160.31286415875,160.333066178952
0.8526854059715,134.186436947507,6,6,NA,0,TRUE,TRUE,0.239999999999952,265,200,1,"fit_glaze_osc_zeta_v4_no_integration",270.372873895014,270.393075915216
1.46177506353253,126.116205677203,7,7,NA,0,TRUE,TRUE,0.25,266,200,1,"fit_glaze_osc_zeta_v4_no_integration",254.232411354406,254.252613374608
0.76934869288574,134.997396100868,6,6,NA,0,TRUE,TRUE,0.220000000000027,267,200,1,"fit_glaze_osc_zeta_v4_no_integration",271.994792201736,272.014994221938
2.19722460979485,112.467028923762,8,8,NA,0,TRUE,TRUE,0.300000000000011,268,200,1,"fit_glaze_osc_zeta_v4_no_integration",226.934057847523,226.954259867725
2.4166223872874,107.85526829941,8,8,NA,0,TRUE,TRUE,0.310000000000002,269,200,1,"fit_glaze_osc_zeta_v4_no_integration",217.71053659882,217.730738619022
