"p1","p2","p3","p4","p5","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","subject_id","session_id","trial_n","free_param","type","AIC","cAIC"
0.654547940880721,2.22267660304075,2.9069940749488,0.101113886664515,1.27504863494324,280.201921630861,52,52,NA,0,FALSE,FALSE,21.8999999999942,1,30,583,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",570.403843261721,570.507829396904
0.410396906429139,2.30516615392968,10,0.2,3.17714463765139,448.412106576705,57,57,NA,0,FALSE,TRUE,39.0399999999936,1,43,885,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",906.82421315341,906.892472539076
0.575214179589736,3.49019545429894,1.00205779650409,0.112910549480085,1.04560064663093,265.650484783403,35,35,NA,0,FALSE,FALSE,12.4800000000105,1,45,500,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",541.300969566807,541.422427056685
0.352860116590516,2.05668074577608,2.50073255145706,0.0673665739097526,3.90789334207391,368.281041626247,61,61,NA,0,FALSE,FALSE,25.1399999999994,1,48,597,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",746.562083252495,746.663606095134
0.434196358252663,2.91016164356006,2.92322708824755,0.0912136141330517,0.0459213325554798,411.806468675293,64,64,NA,0,FALSE,FALSE,33.1699999999983,1,49,708,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",833.612937350587,833.698407436057
0.661782439188659,2.93117308842843,8.08355935933404,0.0646458108327162,4.24916351877457,397.667174854439,88,88,NA,52,FALSE,FALSE,47.8099999999977,1,53,693,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",805.334349708877,805.421685953419
0.413911006737412,2.37585363643532,3.34268400425895,0.025,2.07997381943774,587.72784664431,37,37,NA,0,FALSE,TRUE,28.9199999999983,1,54,998,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",1185.45569328862,1185.51617715959
0.599037286929892,2.03440608599545,10,0.2,3.44802994408747,274.678090746065,100,100,NA,0,FALSE,TRUE,33.9400000000023,1,55,445,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",559.35618149213,559.492855751811
0.632917863569281,2.98276718577406,0.324713537566485,0.0693330333836663,0,490.329339177613,41,41,NA,0,TRUE,TRUE,26.9799999999959,1,56,860,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",990.658678355226,990.728935966468
0.671255984865282,2.47678882107193,2.38232282268882,0.068009356827063,1.05852912784587,467.381978728313,78,78,NA,0,FALSE,FALSE,47.5999999999913,1,57,788,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",944.763957456627,944.840683799338
0.62308558530144,3.09622634778698,3.86197040897865,0.137249827956785,2.17077265363408,403.285101160161,122,122,NA,52,FALSE,FALSE,68.8400000000111,1,58,722,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",816.570202320322,816.654001203003
0.347560398158537,1.9337212048038,8.26737371419065,0.0561498369542389,1.03000456699936,422.931710319839,104,104,NA,0,FALSE,FALSE,56.1999999999971,1,59,696,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",855.863420639678,855.950377161418
0.676881759514082,1.83159531416747,2.10802521573105,0.2,5.4172960986065,257.097222829388,95,95,NA,0,FALSE,TRUE,30.0199999999895,1,60,415,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",524.194445658776,524.34114492528
0.390224583316322,1.5665111615668,1.0401013847493,0.0259441253691569,2.02882343394405,494.537620103375,87,87,NA,0,FALSE,FALSE,53.8500000000058,1,63,783,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",999.07524020675,999.15246028397
0.659122882183702,2.78468296195009,4.13274413450679,0.145718975725987,1.42261893524037,287.287653800555,82,82,NA,0,FALSE,FALSE,30.2400000000052,1,64,492,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",584.575307601111,584.698764391234
0.661189739378052,5.0329841347395,7.74407373549941,0.0422073847399612,4.02171105212864,509.516723151027,131,131,NA,0,FALSE,FALSE,107.419999999998,1,65,1016,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",1029.03344630205,1029.09285224265
0.548045720488893,3.20137202364431,1.94653426222071,0.0691059959853441,5.08391573670789,325.952476429555,71,71,NA,0,FALSE,FALSE,32.4100000000035,1,66,595,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",661.904952859109,662.006820431265
0.656917158610294,2.67452387593118,3.74486909028943,0.0796666313255014,4.25068972998436,401.685295168531,123,123,NA,52,FALSE,FALSE,66.7899999999936,1,67,697,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",813.370590337061,813.457421017235
0.567032162878373,3.50020496214903,4.43864662909087,0.110392404110734,4.42012687625055,482.169677302433,70,70,NA,0,FALSE,FALSE,47.6499999999942,1,68,875,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",974.339354604866,974.408399484038
0.633253956718188,3.16949721795398,3.38040328239111,0.195279049809984,2.15638882614801,338.704889799796,90,90,NA,0,FALSE,FALSE,58.7700000000041,2,21,829,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",687.409779599592,687.482683609312
0.581999797214581,4.97805820538154,1.00981016194984,0.148717345280547,5.44929950204569,490.398364369654,47,47,NA,0,FALSE,FALSE,38.6000000000058,2,22,1057,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",990.796728739308,990.853817226463
0.549483190365867,3.66663487275534,1.00626453853676,0.0616466301012278,2.82416485118311,445.958599051096,37,37,NA,0,FALSE,FALSE,23.6000000000058,2,25,809,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",901.917198102193,901.99191790294
0.658143689277954,2.47758019657612,5.06298085773066,0.194554184108751,3.45201691714395,502.652893930277,84,84,NA,0,FALSE,FALSE,57.2999999999884,2,26,864,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",1015.30578786055,1015.37571793048
0.669538554405704,3.19687253758089,1.01417322584059,0.0937121055693454,2.2504503336569,377.95233416797,21,21,NA,0,FALSE,FALSE,10.7699999999895,2,27,673,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",765.90466833594,765.994623358428
0.409418166194078,4.92324684267954,2.42144182079487,0.0592579412425256,0,460.73584474095,113,113,NA,52,FALSE,FALSE,83.0099999999948,2,28,927,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",931.4716894819,931.536836061705
0.58404971205363,5.28174607207384,5.6213599638163,0.0579841057869703,3.48072489832614,395.581056115292,52,52,NA,0,FALSE,FALSE,32.7700000000041,2,29,801,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",801.162112230583,801.237583928696
0.32886105568207,2.77873008759295,4.77903912909091,0.0583426378250029,2.61744434805082,169.067560319072,71,71,NA,0,FALSE,FALSE,16.2200000000012,2,31,301,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",348.135120638143,348.338510468652
0.44969717745227,7.83397328001935,5.14947058722207,0.0607863694535282,3.36927241295349,254.597815988417,65,65,NA,0,FALSE,FALSE,54.75,2,32,1062,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",519.195631976834,519.252450158652
0.466664319019985,3.37036564558747,1.03268549969069,0.167863652905743,3.78245150567337,340.775419823483,38,38,NA,0,TRUE,FALSE,18.8999999999942,2,35,629,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",691.550839646966,691.647147833162
0.438459874002141,12.9946904179417,8.95761536506033,0.186976467312737,4.2095139600693,270.85355014672,84,84,NA,52,FALSE,FALSE,47.25,2,39,726,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",551.70710029344,551.790433626774
0.461820552747897,2.59795866537525,1.07630264289533,0.0644780012900322,3.3042214968397,244.053467979561,38,38,NA,0,FALSE,FALSE,16.4600000000064,3,8,578,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",498.106935959123,498.211831064018
0.581516421516134,4.50499986370113,10,0.2,2.92050808006837,280.175688553863,80,80,NA,0,FALSE,TRUE,43.4400000000023,3,9,703,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",570.351377107726,570.437460321499
0.527605685217738,7.34644076223108,0,0.025,3.53760406044147,272.659117920308,48,48,NA,0,TRUE,FALSE,22.5,3,10,612,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",555.318235840617,555.417245741607
0.633088445027293,4.92943757806184,2.4115034210077,0.0393737355474107,1.4438176465251,313.354446984387,72,72,NA,0,FALSE,FALSE,34.8600000000006,3,11,617,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",636.708893968774,636.807093641442
0.275774258551581,1.96820750924269,1.10481459935563,0.0667854042880008,4.92502480640787,526.60179845748,102,102,NA,0,FALSE,TRUE,86.0099999999948,4,4,1056,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",1063.20359691496,1063.2607397721
0.311871469723082,1.6674017679224,10,0.025,1.96648922091144,542.305770755623,67,67,NA,0,FALSE,TRUE,50.6199999999953,4,5,949,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",1094.61154151125,1094.67516823447
0.358300468531675,2.73647014203049,1.38994267547596,0.025,0,660.171571729746,46,46,NA,0,FALSE,TRUE,44.8600000000006,4,7,1224,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",1330.34314345949,1330.39240454324
0.237639407030691,2.80373489142681,1.9597220968579,0.0711021337276823,2.38645930409121,430.438327201608,70,70,NA,0,FALSE,FALSE,41.4400000000023,4,9,753,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",870.876654403215,870.956975688356
0.442667584798476,3.03875891617716,1.01612065952735,0.0561852547762432,0.296367863836787,392.167422033801,61,61,NA,0,FALSE,FALSE,32.8000000000029,4,13,705,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",794.334844067603,794.420680977474
0.0105027803188551,1.91628856290542,3.47323794922855,0.0539431834048404,2.85040213247563,57.7128816752289,85,85,NA,0,FALSE,TRUE,8.83999999999651,4,14,135,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",125.425763350458,125.890879629528
0.39607037059396,2.43839554034215,0.287750929016937,0.025,1.74317607400355,127.234291762464,72,72,NA,0,FALSE,TRUE,16.5600000000122,4,16,309,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",264.468583524928,264.666603326909
0.640645376384284,2.74173865631476,2.4147394426584,0.166171010823535,5.4952821269428,177.404656540393,90,90,NA,0,FALSE,FALSE,28.5099999999948,4,17,417,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",364.809313080786,364.955298482246
0.391607856959477,3.09902393235208,2.62142509221614,0.0327440295002076,1.37132552118071,410.523298495379,64,64,NA,0,FALSE,FALSE,36.3099999999977,4,18,732,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",831.046596990758,831.129241618857
0.01,0.905079386441492,0.107560494817323,0.185764333660459,6.07302877419952,22.3834283021076,71,71,NA,0,FALSE,TRUE,2.24000000000524,4,27,38,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",54.7668566042152,56.6418566042152
0.023527630927002,1.66798374486584,0.252394779619487,0.025,1.25609245836939,32.201617231912,113,113,NA,0,FALSE,TRUE,6.08000000000175,4,35,65,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",74.4032344638241,75.4201836163664
0.679747256509802,2.48035226546301,2.25663823940517,0.181081427199044,6.280043714526,389.780132725739,95,95,NA,0,FALSE,FALSE,66.8399999999965,5,15,889,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",789.560265451479,789.628215621354
0.711293835889225,3.36868790991457,0.801133103207453,0.2,1.35725323444813,324.785755261871,32,32,NA,0,FALSE,TRUE,19.9700000000012,5,16,809,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",659.571510523742,659.646230324489
0.709097977776424,3.87459384445151,1.01407635059711,0.177634420829324,5.86527720980584,441.377912857856,142,142,NA,0,FALSE,TRUE,126.029999999999,5,17,1106,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",892.755825715713,892.810371170258
0.704355384695922,2.4261443595298,1.02102755140964,0.194884962529593,4.88167761611036,451.216263868015,40,40,NA,0,FALSE,FALSE,23.9600000000064,5,18,768,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",912.43252773603,912.51126789351
0.752887364157163,2.56665526765153,1.02250070316352,0.0942323024629609,4.04536564736948,279.38847784601,39,39,NA,0,FALSE,TRUE,14.5,5,20,488,5,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",568.776955692019,568.90143701982
