"p1","p2","p3","p4","p5","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","subject_id","trial_n","free_param","type","AIC","cAIC"
0.0184558736022366,3.37861393910947,0.757780926083606,0.124425393166482,5.87741776237574,1869.28081953415,39,39,NA,0,FALSE,FALSE,233.87999999999,238,3500,5,"fit_glaze_osc_zeta_v5_LLR_amp",3748.5616390683,3748.57881136367
0.01,2.57361334559937,0.141612382315507,0.0790463040585229,3.80876280909997,1983.90966347847,81,81,NA,52,FALSE,FALSE,512.119999999995,239,3679,5,"fit_glaze_osc_zeta_v5_LLR_amp",3977.81932695694,3977.83566237757
0.0305748968198642,2.93592956086863,0.490897858020042,0.0427952678573041,3.18590777712364,1885.68686907451,240,240,NA,0,FALSE,FALSE,1429.48999999999,240,3531,5,"fit_glaze_osc_zeta_v5_LLR_amp",3781.37373814903,3781.39075942562
0.01,2.69760392224599,0.101086398766732,0.025,0.442811336592994,1864.00910655644,62,62,NA,0,FALSE,TRUE,371.810000000012,241,3563,5,"fit_glaze_osc_zeta_v5_LLR_amp",3738.01821311287,3738.03508126019
0.01,2.61898483955978,0,0.2,2.38824620286029,1793.5189064999,34,34,NA,0,FALSE,FALSE,201.639999999999,242,3467,5,"fit_glaze_osc_zeta_v5_LLR_amp",3597.0378129998,3597.05514902985
0.145470680984259,4.86469175456386,0.781448734472077,0.0866307116513322,3.46444153540496,1902.62681875126,94,94,NA,52,FALSE,FALSE,531.390000000014,243,3479,5,"fit_glaze_osc_zeta_v5_LLR_amp",3815.25363750253,3815.27091363267
0.01,2.59981974866994,0,0.0272607982766828,5.12240101970382,1784.24833979938,16,16,NA,0,FALSE,FALSE,85.4400000000023,244,3434,5,"fit_glaze_osc_zeta_v5_LLR_amp",3578.49667959875,3578.51418251591
0.0491644245110935,3.07793474729762,0.416334972303129,0.0875046098243063,3.51785022594518,1810.67202624658,88,88,NA,0,FALSE,FALSE,483.330000000002,245,3516,5,"fit_glaze_osc_zeta_v5_LLR_amp",3631.34405249316,3631.36114651026
0.0936706706307907,3.24461317837696,0.586355651859109,0.0750545566800599,5.0103116706898,1899.64674233375,254,254,NA,0,FALSE,FALSE,1409.39,246,3603,5,"fit_glaze_osc_zeta_v5_LLR_amp",3809.2934846675,3809.31016523463
0.01,2.47539431005519,0,0.025,1.00594682418538,1889.53679692672,20,20,NA,0,FALSE,FALSE,110.540000000008,247,3545,5,"fit_glaze_osc_zeta_v5_LLR_amp",3789.07359385344,3789.09054779523
0.119671625764759,3.63630607362753,0.830591093818598,0.0464406213211643,1.82189909328836,1836.28794157478,51,51,NA,0,FALSE,FALSE,276.670000000013,248,3503,5,"fit_glaze_osc_zeta_v5_LLR_amp",3682.57588314957,3682.59304071319
0.092889250251118,3.48687334197183,0.831734972437871,0.0301150611498783,5.13864256394149,1918.28371614538,48,48,NA,0,FALSE,FALSE,272.279999999999,249,3606,5,"fit_glaze_osc_zeta_v5_LLR_amp",3846.56743229077,3846.58409895744
0.99,2.36091216178256,7.50681638817834,0.0588059807925865,2.12530415864631,112.787702363301,110,110,NA,0,FALSE,FALSE,29.4900000000052,250,200,5,"fit_glaze_osc_zeta_v5_LLR_amp",235.575404726603,235.884683077118
0.01,5.47000994663185,0.727807045608543,0.192177615967581,5.09152875844533,72.8272400789979,26,26,NA,0,FALSE,TRUE,7,251,200,5,"fit_glaze_osc_zeta_v5_LLR_amp",155.654480157996,155.963758508511
0.88625424900699,4.14783423389629,0.977299911834217,0.0849750373162929,2.62561956722014,93.5584589136324,96,96,NA,0,FALSE,TRUE,25.8199999999924,252,200,5,"fit_glaze_osc_zeta_v5_LLR_amp",197.116917827265,197.42619617778
0.0716275104873601,4.79299845323444,4.46264362547573,0.031259793323706,6.280043714526,106.811842976666,53,53,NA,0,FALSE,FALSE,14.0600000000122,253,200,5,"fit_glaze_osc_zeta_v5_LLR_amp",223.623685953333,223.932964303848
0.99,0.725746106806571,10,0.0283917277916055,6.280043714526,134.840747775249,43,43,NA,0,FALSE,TRUE,11.4399999999878,254,200,5,"fit_glaze_osc_zeta_v5_LLR_amp",279.681495550499,279.990773901014
0.01,2.95724364677554,3.36555147381396,0.0306665798609291,3.37929200968966,123.230787765326,52,52,NA,0,FALSE,FALSE,13.8899999999994,255,200,5,"fit_glaze_osc_zeta_v5_LLR_amp",256.461575530653,256.770853881168
0.0268719591835254,2.22305841123544,0,0.025,2.90068996756412,110.484933417183,21,21,NA,0,FALSE,FALSE,5.69000000000233,256,200,5,"fit_glaze_osc_zeta_v5_LLR_amp",230.969866834367,231.279145184882
0.210127090951572,5.11158466087658,0.577182632140216,0.17987927946315,2.48573138668893,73.3187320062387,66,66,NA,0,FALSE,TRUE,17.5800000000017,257,200,5,"fit_glaze_osc_zeta_v5_LLR_amp",156.637464012477,156.946742362993
0.99,1.16254174854259,0,0.0259056742747844,1.78731522182532,109.03381363895,38,38,NA,0,FALSE,FALSE,9.83999999999651,258,200,5,"fit_glaze_osc_zeta_v5_LLR_amp",228.067627277899,228.376905628415
0.128692845462136,2.15097342519024,1.3719189451443,0.0846474262185095,0,127.605833632941,38,38,NA,0,FALSE,TRUE,10.1399999999994,259,200,5,"fit_glaze_osc_zeta_v5_LLR_amp",265.211667265881,265.520945616397
0.0125042378329666,5.05723965497875,0.563897867306298,0.0421525213517825,5.14714223908972,73.9772550376524,77,77,NA,0,TRUE,TRUE,20.5200000000041,260,200,5,"fit_glaze_osc_zeta_v5_LLR_amp",157.954510075305,158.26378842582
