"","average_internal","average_external","sensitivity","bias","study_id","subject_id","dprime","meta_dprime","meta_dprime_ratio","average_diff_ei","var_diff_ei","ratio"
"1",0.565696732632447,0.774033034425891,0.164066937942567,0.7432298275239,12,238,1.54877517600676,1.71,1.10409827487611,0.208336301793445,0.231644561501682,1.36828266768302
"2",0.41636357360739,0.766806642513356,0.184667491260273,0.795089794369688,12,239,1.46560974680015,2.66,1.81494426180472,0.350443068905966,0.212356147941844,1.84167561986682
"3",0.446326680651235,0.774813402872026,0.179532426910179,0.76061497015433,12,240,1.51884888632795,2.19,1.44188142725289,0.328486722220792,0.197835085226264,1.73597823401796
"4",0.456697786574295,0.782147170352334,0.154214155083668,0.755507314134838,12,241,1.57584143881017,1.84,1.16763016550021,0.325449383778039,0.196960876804682,1.71261432252441
"5",0.525816604796991,0.787991435222471,0.150794828854471,0.834854324862699,12,242,1.71694859991692,2.3,1.33958582109638,0.262174830425479,0.229817232650454,1.49860508023839
"6",0.570291621922838,0.78492841194767,0.15218863168171,0.799173503243872,12,243,1.76160185878846,1.9,1.07856380289399,0.214636790024832,0.240278439599412,1.37636321799915
"7",0.480134694141683,0.785608939045165,0.149782810213677,0.795369059223976,12,244,1.61437007560207,1.57,0.972515548774947,0.305474244903482,0.201865854121251,1.63622614368571
"8",0.485911292758562,0.791188251768456,0.191911423479239,0.802532096704688,12,245,1.70683032762601,2.28,1.33580940243263,0.305276959009894,0.21305518004262,1.62825656361434
"9",0.507854105064763,0.783213453675568,0.185174670031562,0.773040306752998,12,246,1.59967498570831,2.28,1.42528952466582,0.275359348610806,0.225564228624085,1.54220167931042
"10",0.526118315942011,0.775168010957856,0.152566713900068,0.809510103829493,12,247,1.55234689446869,1.88,1.21106951461609,0.249049695015844,0.214517729762316,1.47337202957841
"11",0.508986576749922,0.788995713424774,0.184898352604127,0.770034125933595,12,248,1.63228339261852,2.17,1.32942601132447,0.280009136674852,0.20616883045917,1.55013069001312
"12",0.521239162482923,0.782266268580744,0.22536329545002,0.714779176220131,12,249,1.644282617232,2.03,1.23458095264507,0.261027106097821,0.227909511000345,1.50078183852191
"13",0.823258116883117,0.618191558441558,0.229367758153304,0.791342590336661,13,250,0.770211826263314,1.25,1.62293015684319,-0.205066558441558,0.285813094714493,0.750908549534929
"14",0.480222763347763,0.874491161616161,0.0783752155975853,0.884023776251811,13,251,2.26502254166367,1.1,0.48564638089299,0.394268398268398,0.216451601514466,1.82101147292529
"15",0.574754329004329,0.790316378066378,0.171353142708124,0.779780275308035,13,252,1.59460977953182,2.08,1.30439435823019,0.215562049062049,0.236635148188462,1.37505076201075
"16",0.49433152958153,0.694015692640693,0.164369916842893,0.79642592882663,13,253,0.994668826601816,1.48,1.48793242576654,0.199684163059163,0.275453524970396,1.40394785909813
"17",0.562848484848485,0.530076659451659,0.0546221585018487,0.548283514431468,13,254,0.147888074654533,0.18,1.21713667867054,-0.0327718253968254,0.312365047504071,0.941775049095766
"18",0.504139249639249,0.653897546897547,0.110462281059215,0.696925035837759,13,255,0.796554378374909,0.9,1.12986636497578,0.149758297258297,0.212983967133642,1.2970574050036
"19",0.726826118326118,0.749806637806638,0.0659134861277993,0.759952096246872,13,256,1.60136118878141,0.82,0.51206436483202,0.0229805194805195,0.302518255354622,1.03161763027097
"20",0.491941378066378,0.874452741702742,0.11802526681656,0.938836816595338,13,257,2.3893473263021,1.61,0.673824178794355,0.382511363636364,0.198159351182847,1.77755476707379
"21",0.831494588744589,0.629406926406926,0.131591095921316,0.793760271611194,13,258,0.865441279320309,0.100000000000001,0.115547989666656,-0.202087662337662,0.21013411865878,0.7569585357822
"22",0.631864538239538,0.643699675324675,0.162669889747067,0.598119238219242,13,259,0.738799560963671,1.05,1.42122445041847,0.0118351370851371,0.210958420156522,1.01873049739128
"23",0.488421536796537,0.876579004329004,0.106201967926176,0.85962312143108,13,260,2.26568673810979,1.85,0.816529473771563,0.388157467532467,0.211192365290806,1.79471816512908
"24",0.704739177489177,0.67342821067821,0.011793955216416,0.662510123799605,13,261,0.919999365803625,0.44,0.478261199251651,-0.0313109668109668,0.27820111827846,0.95557084406387
"25",0.574739177489177,0.785093253968254,0.14049041412399,0.79928663999064,13,262,1.66495989553659,1.12,0.67268887557141,0.210354076479076,0.21009195141284,1.36599919531854
"26",0.617179473304473,0.783274531024531,0.337767191080077,0.428816011208623,13,263,1.71976667602103,2.19,1.27342855896413,0.166095057720058,0.339866536061161,1.26911954286289
"27",0.432210317460318,0.863181277056277,0.107257304436965,0.870139094808514,13,264,2.27176533557813,1.64,0.721905548216602,0.430970959595959,0.218464537694897,1.99713251207967
"28",0.573180916305916,0.607587662337662,0.0735720322444239,0.663256971993939,13,265,0.544088093609129,0.23,0.422725662813771,0.034406746031746,0.297810760094404,1.06002772432392
"29",0.636540404040404,0.675669372294372,0.25829071974815,0.870263695738805,13,266,0.994572294244583,1.42,1.42774940365551,0.0391289682539681,0.274520096907079,1.06147130332277
"30",0.670530844155844,0.596439935064935,0.00293350086802678,0.59377333315892,13,267,0.680229237954093,0.43,0.632139837583722,-0.0740909090909093,0.326543694266431,0.889504100017673
"31",0.478218434343434,0.749397546897547,0.157167784728405,0.699774534695431,13,268,1.4192728151622,1.35,0.951191332334311,0.271179112554112,0.261549410498502,1.56706118601728
"32",0.499320346320346,0.768421536796537,0.187645740039884,0.79412748181775,13,269,1.57051852362516,2.08,1.32440335386738,0.26910119047619,0.230285702265611,1.53893495920862
