"p1","p2","p3","p4","p5","p6","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","subject_id","session_id","trial_n","free_param","type","AIC","cAIC"
0.670371925369024,0.441693309029144,3.98326465837071,0.0353966864573681,0.311389665620563,5.11734944088764,277.261339518152,116,116,NA,52,FALSE,FALSE,44.2600000000093,1,30,583,6,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",566.522679036305,566.668512369638
0.430843624661428,0.450355991224903,6.75066364951302,0.14148242203463,2.65218934225825,5.02126868449912,448.127926003226,57,57,NA,0,FALSE,FALSE,30.1100000000006,1,43,885,6,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",908.255852006453,908.351523988229
0.57182248507421,0.716402574517617,4.80206885565864,0.0545213807297644,1.24606321882782,4.90090392895452,264.658278721568,108,108,NA,0,FALSE,FALSE,39.3600000000006,1,45,500,6,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",541.316557443136,541.486942838673
0.451821275206694,0.411447034485371,1.0330705749937,0.0551340267079684,3.11677206101544,5.00451749043534,369.123178469566,44,44,NA,0,FALSE,FALSE,19.3099999999977,1,48,597,6,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",750.246356939131,750.388729820487
0.521001087687376,0.57039849153303,1.05907491141908,0.100427990731879,3.19057959784892,5.03802384433069,412.311029710682,40,40,NA,0,FALSE,FALSE,19.9499999999971,1,49,708,6,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",836.622059421364,836.741888237341
0.629661019893071,0.596000951416633,4.08720455529797,0.0427423541895901,5.11043463971863,5.00154252577447,396.795828297393,120,120,NA,52,FALSE,FALSE,62.6900000000023,1,53,693,6,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",805.591656594785,805.714105574377
0.481393796719578,0.470793176342401,1.01834622384107,0.0382553349266753,3.12636697129526,5.03590059340996,588.343895501971,78,78,NA,52,TRUE,FALSE,56.5,1,54,998,6,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",1188.68779100394,1188.77255386973
0.01,0.23805191007484,1.71272953800749,0.0849846191957963,3.79706309471484,5.00528652037488,277.734529596787,78,78,NA,0,FALSE,FALSE,24.1700000000128,1,55,445,6,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",567.469059193573,567.660840015491
0.597287444319099,0.598302394291895,0.380229755986715,0.0361701012194157,2.99774693533767,5.00395910825962,490.083879345625,92,92,NA,0,FALSE,FALSE,57.7099999999919,1,56,860,6,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",992.16775869125,992.266234658425
0.596496614855522,0.509120513180432,0.925796863560632,0.025,5.3082182184917,4.64111893925311,469.934776245121,92,92,NA,0,FALSE,FALSE,51.6499999999942,1,57,788,6,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",951.869552490242,951.977106907656
0.496538955847988,0.610677650886362,1.05061510630397,0.0403075902095301,2.98400312434701,5.02635305707178,405.231749630171,35,35,NA,0,TRUE,FALSE,17.5099999999948,1,58,722,6,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",822.463499260341,822.580981777824
0.435858630024745,0.38460913095861,1.04177700226709,0.0712915786331853,3.12641659245362,5.02147013603747,425.498905040993,42,42,NA,0,FALSE,FALSE,20.8799999999901,1,59,696,6,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",862.997810081986,863.119725902015
0.641969682002174,0.381866564315649,1.52363350700979,0.2,5.45998837820519,4.76642271436536,257.207783494491,29,29,NA,0,FALSE,FALSE,8.5399999999936,1,60,415,6,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",526.415566988982,526.621449341923
0.403381209847485,0.312570505714458,1.0355515911778,0.108641642912662,3.19062769577754,4.99755030734155,494.581283342707,45,45,NA,0,TRUE,FALSE,24.8000000000029,1,63,783,6,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",1001.16256668541,1001.27081410809
0.597681087567525,0.568005632890256,7.32803681845922,0.0893670773398443,2.02749696581436,4.96416929094199,286.988572220039,104,104,NA,52,FALSE,FALSE,35.8400000000111,1,64,492,6,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",585.977144440077,586.150340316366
0.552864817139509,0.963602401321079,1.00298179720346,0.0508094052339693,3.08981472130771,5.13606422176868,512.687372436821,47,47,NA,0,FALSE,FALSE,33.8899999999994,1,65,1016,6,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",1037.37474487364,1037.45799561695
0.593750432252537,0.636562620152178,4.26563447938522,0.0250000000000003,3.66740867848729,5.09382653271917,324.06307006865,113,113,NA,0,FALSE,FALSE,47.320000000007,1,66,595,6,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",660.1261401373,660.268997280157
0.589240144160272,0.530563024788673,3.41479243853072,0.025849811198115,4.00635050580361,5.05015896315321,402.346771497774,57,57,NA,0,FALSE,FALSE,27.5499999999884,1,67,697,6,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",816.693542995548,816.815282125983
0.534343799545215,0.649602504148869,5.98139864952777,0.0632155711751025,4.37328154323848,5.31705928386861,482.57097325247,80,80,NA,0,FALSE,FALSE,49.6199999999953,1,68,875,6,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",977.14194650494,977.238720698488
0.618118761891628,0.60869153313648,4.26791065943728,0.0300643849865605,3.49029502807485,5.16998228324628,336.94576065986,104,104,NA,0,FALSE,FALSE,61.4900000000052,2,21,829,6,"fit_glaze_osc_zeta_v4_Prior_amp_mouse",685.891521319721,685.993711100743
