"study_id","subject_id","lag","History_weight","History_diff_AIC","Stimulus_weight","Stimulus_diff_AIC"
12,238,1,0.191087451437669,6.85556219180307,0.39995573299069,16.8803778170454
12,238,2,0.140242692936457,4.43352832831079,0.324976111922045,13.466908528696
12,238,3,0.0562252237836826,2.61386662044515,0.124283044606738,3.691116684799
12,238,4,0.0600770974268215,3.84763127183396,0.0231235267482634,2.5690073000369
12,238,5,0.141784538372613,8.46922958476625,0.00613872185811721,3.02796768703547
12,238,6,-0.0513852972480694,5.92198176275087,-0.137593305155883,5.50256182210387
12,238,7,0.125245667244482,9.81553969082051,0.0423404066150672,4.24243745040576
12,238,8,0.0458469748100145,8.09040500337414,-0.217842691588464,9.40413088563855
12,238,9,0.132394594473521,13.0089212447137,-0.0884559919813672,8.35621328481466
12,238,10,-0.094336040422788,12.3255725484732,-0.214683131298067,15.2092408436297
12,239,1,0.373567134487115,30.122523180501,0.464362749356075,25.8571343123917
12,239,2,0.42746436961083,41.2316986016622,0.440888199571738,23.6212439276997
12,239,3,0.196710294246044,11.0006110741178,0.286491705248144,9.73091806124148
12,239,4,0.248444141284594,17.7622674253525,0.108207103066764,1.53020836852784
12,239,5,0.148495351730189,10.8829001435088,0.099479623972903,1.84292180039074
12,239,6,0.106322979639729,9.62128784687411,-0.105258886493951,2.46619808619971
12,239,7,0.0844602611524145,9.79018567207277,0.131524627331113,3.80579698349902
12,239,8,0.0322491482552773,10.2207453328328,-0.177171509884439,5.81822779157301
12,239,9,-0.0339373918591809,11.9992445543494,-0.0804453652197298,3.53626408509081
12,239,10,-0.0254998529927421,12.9659157291853,-0.214230710253687,8.49043051261788
12,240,1,0.21254094703055,8.92186435838994,0.413411558582026,18.2519278406621
12,240,2,0.0724875212903155,1.49859892752556,0.345284176163899,12.6514206580719
12,240,3,0.104043495264686,3.88293053561483,0.234889780779805,5.72196998217987
12,240,4,0.263090700549191,18.0681143383736,0.0739320251883666,0.637741018371798
12,240,5,0.143531261492346,9.21256789625841,0.0389378677269275,0.716907414156594
12,240,6,0.133345404656577,9.78716655300559,0.0568363051194534,1.4146751686585
12,240,7,0.055596038287308,8.23526674786353,-0.0914524822716762,2.45550027659283
12,240,8,0.124341558782095,12.0814157144505,-0.111177828086461,3.38226595112292
12,240,9,0.0816310566642225,11.370124343408,-0.270444710651708,9.99474364794742
12,240,10,0.136007536059426,15.5286089162555,-0.312104599978127,12.8646469094269
12,241,1,0.0287210097076445,-0.598896110137503,0.31353888566588,9.28743356009909
12,241,2,0.0916186410172546,2.28153352034315,0.304209085622046,9.13074307262514
12,241,3,0.0425997594108103,2.40561908106247,0.216074284377868,4.51063841404948
12,241,4,0.0391817350521228,3.56481805695148,0.0482000857641024,0.208916372083877
12,241,5,0.0448907111499849,4.89092985903608,0.253541857292959,7.43491909705108
12,241,6,-0.0249399344924638,6.15209090539793,0.0988753937635164,1.98008674946095
