"trial","type","mean","error"
1,"Attraction",0.175614068710571,0.00166071156740711
1,"Repulsion",0.176191568198772,0.00167268669116942
2,"Attraction",0.158339492224453,0.00160177006147302
2,"Repulsion",0.158414394859034,0.00163595627379876
3,"Attraction",0.140479958633689,0.00161945468685824
3,"Repulsion",0.14019164348413,0.00170419009458807
4,"Attraction",0.121447459424506,0.00156147360099795
4,"Repulsion",0.122685305859691,0.00154870115987754
5,"Attraction",0.110111816442892,0.0015429980972371
5,"Repulsion",0.107149738430585,0.00156495718077443
6,"Attraction",0.0917970836964021,0.00155432771553762
6,"Repulsion",0.0909510285350372,0.00142438111762774
7,"Attraction",0.076849968602138,0.0014890238822614
7,"Repulsion",0.074465951082506,0.00145538820389788
8,"Attraction",0.0588514952942551,0.0014137831549238
8,"Repulsion",0.0577770249526982,0.00144519630845634
9,"Attraction",0.0418941032513622,0.00135356151892023
9,"Repulsion",0.0429826825060684,0.00135868890737709
10,"Attraction",0.0253094983409168,0.00133580321578134
10,"Repulsion",0.024733818511425,0.00139797565076751
11,"Attraction",0.0114049345787226,0.00125539054199212
11,"Repulsion",0.00839881951384491,0.00130881763449928
12,"Attraction",-0.00512336490784311,0.00127398603414851
12,"Repulsion",-0.00726752176149878,0.00128317769877406
13,"Attraction",-0.0226956911039193,0.00131797162846968
13,"Repulsion",-0.0251665423495115,0.00134112146891352
14,"Attraction",-0.0415391031971748,0.00131617053430118
14,"Repulsion",-0.042420977801557,0.0013559456661503
15,"Attraction",-0.0580951773603665,0.00131827905979215
15,"Repulsion",-0.0575093252134435,0.00138574892449045
16,"Attraction",-0.0736526096739349,0.00143514950944635
16,"Repulsion",-0.0730232990084935,0.00141881334757307
17,"Attraction",-0.0864970924341124,0.00138997083570475
17,"Repulsion",-0.0871226884660816,0.00145032459833628
18,"Attraction",-0.0981025711705423,0.00144324587712207
18,"Repulsion",-0.0974537914571589,0.00140860438811892
19,"Attraction",-0.106726299451842,0.00148599871489441
19,"Repulsion",-0.10674664809311,0.00145602814180753
20,"Attraction",-0.112327431721622,0.00142981320035595
20,"Repulsion",-0.111226169927377,0.00148493502114458
21,"Attraction",-0.119706866075557,0.00147222898169634
21,"Repulsion",-0.115227593272075,0.00152020240925001
22,"Attraction",-0.121496114311843,0.00151703807065392
22,"Repulsion",-0.118977301945051,0.00151050498394635
23,"Attraction",-0.119961684794244,0.00152851950538716
23,"Repulsion",-0.11826601413785,0.00151951606501485
24,"Attraction",-0.120796430957912,0.00148054942026363
24,"Repulsion",-0.119738623684683,0.00145670214980854
25,"Attraction",-0.115344096747988,0.00152202273921188
25,"Repulsion",-0.113149774919705,0.00151591367162709
26,"Attraction",-0.108212118454148,0.00148174185862734
26,"Repulsion",-0.107105414803408,0.00154297259162743
27,"Attraction",-0.100334742190554,0.00151797840697451
27,"Repulsion",-0.0991582696693348,0.00152241393345115
28,"Attraction",-0.0904143868223596,0.00147804029449106
28,"Repulsion",-0.0900370158238276,0.0015131178362637
29,"Attraction",-0.0778312076883012,0.0014765449529447
29,"Repulsion",-0.0801464962602609,0.00144812565024022
30,"Attraction",-0.0619731280130114,0.00151558277658574
30,"Repulsion",-0.0636660927845866,0.00148671913414631
31,"Attraction",-0.0472769168039686,0.00146436813050027
31,"Repulsion",-0.0469791022302943,0.00153219525144048
32,"Attraction",-0.0320001576046344,0.00145285703456709
32,"Repulsion",-0.0305149432873765,0.00147434311011864
33,"Attraction",-0.0175032525747675,0.00151812280757804
33,"Repulsion",-0.0157330489935475,0.00151126259785287
34,"Attraction",8.26092027343872e-05,0.00149033075407698
34,"Repulsion",-6.66858781080326e-04,0.00143318175991184
35,"Attraction",0.0105900284471705,0.00147943802854631
35,"Repulsion",0.0140071652392777,0.0015000514557921
36,"Attraction",0.0247371731985348,0.00150554803403468
36,"Repulsion",0.0251653180134438,0.00148258156539085
37,"Attraction",0.0372584799008501,0.00153209188536485
37,"Repulsion",0.03854160816136,0.00155568341125285
38,"Attraction",0.0515659283295048,0.00155925962001439
38,"Repulsion",0.0501569314125781,0.0015435242739164
39,"Attraction",0.0612514308947125,0.00152891093953124
39,"Repulsion",0.0612523644943127,0.00152114476331865
40,"Attraction",0.0722108855598897,0.00157265585733318
40,"Repulsion",0.0707647969602676,0.00153875047023453
41,"Attraction",0.0775134892088349,0.00158550433035149
41,"Repulsion",0.0793141145008923,0.00161612091472024
42,"Attraction",0.0870050107636173,0.00160144519137344
42,"Repulsion",0.0862035262517556,0.00156241486709136
43,"Attraction",0.0922996805070952,0.00158450627012439
43,"Repulsion",0.0902028338425675,0.00150826781492527
44,"Attraction",0.0933387269784887,0.00159929019977123
44,"Repulsion",0.0931465260417489,0.00155258461763545
45,"Attraction",0.0953130970164956,0.00159283253014619
45,"Repulsion",0.0944061274880706,0.00152614916923823
46,"Attraction",0.0950587683318154,0.00157742867997961
46,"Repulsion",0.0944722447292956,0.00160058761433483
47,"Attraction",0.092610807506079,0.00157801081877097
47,"Repulsion",0.095534901818071,0.0016347969723906
48,"Attraction",0.0874886022189664,0.00167587493952504
48,"Repulsion",0.0887699994040284,0.00160818124229219
49,"Attraction",0.0803599856091709,0.00168308816893141
49,"Repulsion",0.0812789788441435,0.0016635951186535
50,"Attraction",0.0734549969176837,0.00169162950825096
50,"Repulsion",0.0730929889426789,0.00159665553734008
51,"Attraction",0.0656899912284062,0.00166872893349199
51,"Repulsion",0.065442157501239,0.00168975749202164
52,"Attraction",0.0548845544184208,0.00171296773031612
52,"Repulsion",0.0566868760691535,0.00171260895602058
53,"Attraction",0.045694836580411,0.00172730183482661
53,"Repulsion",0.044859245983378,0.00164672221179095
54,"Attraction",0.0353005658026231,0.00166791905747727
54,"Repulsion",0.034969076922883,0.00172489859269293
55,"Attraction",0.0215986312327457,0.00173014897682951
55,"Repulsion",0.021674086027316,0.00172498287323927
56,"Attraction",0.00926420204943148,0.00173181934281487
56,"Repulsion",0.010542265824776,0.00172305666558322
57,"Attraction",-0.00452978252203287,0.00165052269505641
57,"Repulsion",6.34462411353285e-04,0.00169602399208079
58,"Attraction",-0.0131987520090365,0.0016629031065792
58,"Repulsion",-0.0125017118085692,0.00164956986785373
59,"Attraction",-0.023674472712179,0.00162580244810121
59,"Repulsion",-0.0222749808022513,0.00161246614018871
60,"Attraction",-0.0362644945721987,0.00163968850400874
60,"Repulsion",-0.0334078523176002,0.00159593513170864
61,"Attraction",-0.0434875630376017,0.00163833980804617
61,"Repulsion",-0.0406381565278325,0.00154334278014348
62,"Attraction",-0.0518032353525603,0.00156087155153275
62,"Repulsion",-0.0507896683634749,0.00153749292002288
63,"Attraction",-0.0591074895230755,0.00152642785636721
63,"Repulsion",-0.0583706384153229,0.00153413078871961
64,"Attraction",-0.0651341886946555,0.00152583507464443
64,"Repulsion",-0.0647531016541757,0.00153204997349581
65,"Attraction",-0.0680735981920337,0.00148328615889086
65,"Repulsion",-0.0690064522890343,0.0014766679312314
66,"Attraction",-0.0699598004754362,0.00155617454181612
66,"Repulsion",-0.0719435793617561,0.00152789008955625
67,"Attraction",-0.0729828924292368,0.00150498287402826
67,"Repulsion",-0.0742651135759949,0.00149864908507551
68,"Attraction",-0.0737867046530068,0.0014786272405044
68,"Repulsion",-0.073465521826265,0.00150782897026148
69,"Attraction",-0.0721157942374788,0.00155266410110603
69,"Repulsion",-0.0708461873535702,0.00157607830186238
70,"Attraction",-0.0705462074334883,0.0015558811906881
70,"Repulsion",-0.0694223288846837,0.00156890981168592
71,"Attraction",-0.0678589568925269,0.00159616477126136
71,"Repulsion",-0.0670093143209026,0.00157672548425453
72,"Attraction",-0.0617047277340242,0.00154646282042516
