"p1","p2","p3","p4","p5","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","subject_id","trial_n","free_param","type","AIC","cAIC"
0.112408808402805,3.5349177672915,0.834327650544419,0.0821705032565465,4.57464443586896,1890.47682813523,52,52,NA,52,FALSE,FALSE,258.110000000001,238,3500,5,"fit_glaze_osc_zeta_v5_one_amp",3790.95365627046,3790.97082856582
0.029624575954606,2.87422001533465,0.48899172943933,0.0620709860637972,0.883847165346652,1997.09744484583,125,125,NA,0,FALSE,FALSE,666.169999999998,239,3679,5,"fit_glaze_osc_zeta_v5_one_amp",4004.19488969165,4004.21122511229
0.01,2.49284365198739,0,0.025,1.52685792773385,1875.12776927741,20,20,NA,0,FALSE,FALSE,100.48000000001,240,3531,5,"fit_glaze_osc_zeta_v5_one_amp",3760.25553855483,3760.27255983142
0.01,3.41600792003071,0.634196709954408,0.053070112997843,5.95249282514034,1878.83216959985,41,41,NA,0,FALSE,FALSE,209.679999999993,241,3563,5,"fit_glaze_osc_zeta_v5_one_amp",3767.6643391997,3767.68120734701
0.0963970534290144,3.46446632604387,0.837464813712339,0.0658265844074932,1.2540582560889,1828.56013263526,37,37,NA,0,FALSE,FALSE,184.570000000007,242,3467,5,"fit_glaze_osc_zeta_v5_one_amp",3667.12026527053,3667.13760130058
0.271050365884216,3.08462563610694,0.692592589052622,0.0291309798568443,2.46453775101767,1833.85239967507,86,86,NA,0,FALSE,FALSE,420.900000000009,243,3479,5,"fit_glaze_osc_zeta_v5_one_amp",3677.70479935014,3677.72207548029
0.01,2.648559051213,0.0381132231297505,0.025,2.97782284420236,1784.15862301902,15,15,NA,0,FALSE,FALSE,73.0599999999977,244,3434,5,"fit_glaze_osc_zeta_v5_one_amp",3578.31724603803,3578.33474895518
0.0885544900851911,3.08886738289325,0.696632577013568,0.131234907122061,1.57392774445083,1816.28424203852,101,101,NA,52,FALSE,FALSE,504.139999999999,245,3516,5,"fit_glaze_osc_zeta_v5_one_amp",3642.56848407704,3642.58557809414
0.0743990940433503,3.10630666084693,0.541894654615838,0.115786260779009,5.70887346923003,1893.77030936807,71,71,NA,0,FALSE,FALSE,356.970000000001,246,3603,5,"fit_glaze_osc_zeta_v5_one_amp",3797.54061873613,3797.55729930327
0.01,2.62807437008708,0.122323437488377,0.025,5.91777210644364,1888.64389698359,18,18,NA,0,FALSE,TRUE,88.2599999999948,247,3545,5,"fit_glaze_osc_zeta_v5_one_amp",3787.28779396719,3787.30474790898
0.114127315871083,4.4100222446109,0.793698654576757,0.0445254484807072,2.20801216844653,1868.36822930131,34,34,NA,0,FALSE,FALSE,157.860000000001,248,3503,5,"fit_glaze_osc_zeta_v5_one_amp",3746.73645860261,3746.75361616624
0.0964959466646895,3.42248114567657,0.834062424032779,0.0601499107752151,5.70066627447723,1913.67924674408,54,54,NA,0,FALSE,FALSE,261.899999999994,249,3606,5,"fit_glaze_osc_zeta_v5_one_amp",3837.35849348816,3837.37516015483
0.99,1.9366175175635,2.34495971954741,0.0370199889142513,3.53688612042515,127.913205728548,34,34,NA,0,FALSE,FALSE,7.47999999999593,250,200,5,"fit_glaze_osc_zeta_v5_one_amp",265.826411457095,266.135689807611
0.01,5.99713913044273,0.917979554967039,0.025,0.76529537768305,70.7187873268967,44,44,NA,0,FALSE,TRUE,9.66000000000349,251,200,5,"fit_glaze_osc_zeta_v5_one_amp",151.437574653793,151.746853004309
0.636111762227289,3.6577230963528,0.466990068396067,0.025,6.06780667284355,96.3375508976169,77,77,NA,0,FALSE,TRUE,17.1000000000058,252,200,5,"fit_glaze_osc_zeta_v5_one_amp",202.675101795234,202.984380145749
0.99,4.16922444655539,10,0.0312619392186476,6.280043714526,105.476633077217,108,108,NA,52,FALSE,TRUE,23.6999999999971,253,200,5,"fit_glaze_osc_zeta_v5_one_amp",220.953266154435,221.26254450495
0.99,0.87834471064375,2.86372492061433,0.071448425939458,1.15781573825499,135.786297991422,47,47,NA,0,FALSE,FALSE,10.3899999999994,254,200,5,"fit_glaze_osc_zeta_v5_one_amp",281.572595982844,281.88187433336
0.230288242096111,2.18114947464745,1.49264126393923,0.123010603884425,0,126.493951047374,96,96,NA,0,FALSE,TRUE,20.9500000000116,255,200,5,"fit_glaze_osc_zeta_v5_one_amp",262.987902094747,263.297180445263
0.102472012723784,4.04993629102789,2.62673659394795,0.025,1.55574642731283,103.461796944533,162,162,NA,1,FALSE,TRUE,36.1100000000006,256,200,5,"fit_glaze_osc_zeta_v5_one_amp",216.923593889067,217.232872239582
0.166687409963902,5.21197984100788,0.515967990394949,0.025,0,73.6044299636155,69,69,NA,0,FALSE,TRUE,15.2899999999936,257,200,5,"fit_glaze_osc_zeta_v5_one_amp",157.208859927231,157.518138277746
0.99,1.1625425985967,0,0.0647893896948727,0.910982686243166,109.033813638945,32,32,NA,0,FALSE,FALSE,7,258,200,5,"fit_glaze_osc_zeta_v5_one_amp",228.067627277889,228.376905628405
0.128428887155602,1.70549457348168,1.27306895374687,0.025,1.77523800337779,128.749226895055,32,32,NA,0,FALSE,TRUE,6.91999999999825,259,200,5,"fit_glaze_osc_zeta_v5_one_amp",267.49845379011,267.807732140625
0.01,5.14831567565008,0.588344858534738,0.0885173741283346,3.55054110676297,73.5926156502865,34,34,NA,0,FALSE,TRUE,7.13999999999942,260,200,5,"fit_glaze_osc_zeta_v5_one_amp",157.185231300573,157.494509651088
0.989890348841573,3.46222172785583,2.34851496373384,0.0490269073409214,6.280043714526,119.151277404457,45,45,NA,0,FALSE,TRUE,9.79999999998836,261,200,5,"fit_glaze_osc_zeta_v5_one_amp",248.302554808913,248.611833159429
0.0513210627482992,4.57855125606505,1.51197080237324,0.0344633118994222,2.8957646341582,98.0901309198699,109,109,NA,0,FALSE,TRUE,23.9700000000012,262,200,5,"fit_glaze_osc_zeta_v5_one_amp",206.18026183974,206.489540190255
0.0378333306020922,3.9929456705534,0.99680968716408,0.085799630314858,4.22880515991472,100.563757719018,22,22,NA,0,FALSE,FALSE,4.79000000000815,263,200,5,"fit_glaze_osc_zeta_v5_one_amp",211.127515438036,211.436793788552
0.054070925663258,5.54324763604307,0.831144441904319,0.153854850673949,5.80607387416304,75.483885966974,99,99,NA,0,TRUE,TRUE,21.2799999999988,264,200,5,"fit_glaze_osc_zeta_v5_one_amp",160.967771933948,161.277050284463
0.01,2.30480524750117,4.24457775753829,0.025,3.94666935083333,126.435089021642,48,48,NA,0,FALSE,TRUE,10.6500000000087,265,200,5,"fit_glaze_osc_zeta_v5_one_amp",262.870178043285,263.1794563938
0.0637359659074622,1.95338147944381,0.897064041362906,0.0405459286015234,3.9338796409719,124.854535086972,82,82,NA,0,TRUE,TRUE,17.7699999999895,266,200,5,"fit_glaze_osc_zeta_v5_one_amp",259.709070173943,260.018348524458
0.01,1.16434917618553,1.09097986649273,0.119227002871577,0,134.579213612827,24,24,NA,0,FALSE,TRUE,5.20000000001164,267,200,5,"fit_glaze_osc_zeta_v5_one_amp",279.158427225654,279.467705576169
0.01,3.79196460824507,10,0.025,1.15051008669373,103.195386828188,82,82,NA,0,FALSE,TRUE,17.9199999999983,268,200,5,"fit_glaze_osc_zeta_v5_one_amp",216.390773656376,216.700052006891
0.160900188427394,3.19499173848018,0.535315522391966,0.0811273376410054,0,106.076386126225,82,82,NA,0,FALSE,TRUE,17.7799999999988,269,200,5,"fit_glaze_osc_zeta_v5_one_amp",222.152772252449,222.462050602965
0.01,2.36426048066119,0,0.085232925145441,0.706359006649182,109.055387246618,22,22,NA,0,FALSE,FALSE,4.85000000000582,270,200,5,"fit_glaze_osc_zeta_v5_one_amp",228.110774493237,228.420052843752
0.01,2.63287819999267,1.57617754375652,0.104538901500511,3.32270705523265,120.412403557545,72,72,NA,0,FALSE,TRUE,15.3600000000006,271,200,5,"fit_glaze_osc_zeta_v5_one_amp",250.824807115089,251.134085465605
0.0466086158950469,3.93332590699822,0.714305790294622,0.098655169296828,0.263952018856016,96.5104467530757,45,45,NA,0,FALSE,TRUE,10.0599999999977,272,200,5,"fit_glaze_osc_zeta_v5_one_amp",203.020893506151,203.330171856667
0.406438977127702,1.56484125833119,3.50221055574103,0.0799991894874446,3.45377755806148,131.471476310061,61,61,NA,0,FALSE,FALSE,13.5299999999988,273,200,5,"fit_glaze_osc_zeta_v5_one_amp",272.942952620121,273.252230970637
0.01,4.5911592902826,10,0.0307343973395651,6.280043714526,101.537508228521,105,105,NA,0,FALSE,TRUE,23.1999999999971,274,200,5,"fit_glaze_osc_zeta_v5_one_amp",213.075016457043,213.384294807558
0.0409243361382848,4.44628962002964,0.692035173598992,0.049482758250759,6.280043714526,92.2769270964596,108,108,NA,0,FALSE,TRUE,23.9900000000052,275,200,5,"fit_glaze_osc_zeta_v5_one_amp",194.553854192919,194.863132543435
0.99,1.70404623712833,7.00827076274464,0.030429695029656,3.03548404654642,130.972878283196,128,128,NA,0,FALSE,FALSE,27.8099999999977,276,200,5,"fit_glaze_osc_zeta_v5_one_amp",271.945756566392,272.255034916907
0.01,7.37595216422409,1.16397074676341,0.0438266507349094,5.82303247678746,68.8089987405246,71,71,NA,0,FALSE,TRUE,15.5600000000122,277,200,5,"fit_glaze_osc_zeta_v5_one_amp",147.617997481049,147.927275831565
