"trial","bias_level","mean","error"
1,60,0.00196486174122104,0.0033852081861157
1,70,-0.00211213960483381,0.00306108116308488
1,80,0.00660230902961609,0.00308171487701616
1,90,-2.97420318551801e-04,0.00290074779023154
2,60,0.00501291738427753,0.00306510861975852
2,70,-0.00354788952615945,0.00299670302816211
2,80,0.00180620112990448,0.00309536806556138
2,90,0.00533944129828686,0.00302967460364574
3,60,0.00789159919081568,0.00314179914690627
3,70,0.00588214109428216,0.00298972561838447
3,80,0.00243628966782211,0.00311684332785138
3,90,-2.7220158272826e-04,0.00294208012628184
4,60,-0.00410604060698882,0.00316115193840737
4,70,-0.00269017157145432,0.00308336505098454
4,80,0.00571269909836122,0.00318756566123034
4,90,9.44099596347936e-04,0.00315679829465204
5,60,0.00474990673674491,0.00303901373859477
5,70,-9.89185995083471e-04,0.00292213161194142
5,80,3.68204520601329e-04,0.00301789985579258
5,90,-0.00400869445067713,0.0029753951261075
6,60,0.0053612407818963,0.0030853031388393
6,70,0.00137510112465248,0.00305037342594196
6,80,-3.93061508451341e-04,0.00297472053692827
6,90,-0.00150392960806863,0.00296652243721189
7,60,0.00124107594815822,0.00297385392875642
7,70,-5.21733951939228e-04,0.00306958168595049
7,80,-0.00235736508981138,0.00317689484520135
7,90,-0.00159176555369647,0.00293674157469124
8,60,-0.0049828485062334,0.00285283703536862
8,70,8.46349979194486e-04,0.00294630948403338
8,80,-0.0023338044473189,0.00299214498697074
8,90,-0.00248524747475556,0.00281070804647802
9,60,-1.58643041018902e-04,0.00295419718579942
9,70,0.0023328614172005,0.00309448884994415
9,80,0.00233580805960925,0.00299044007723835
9,90,0.00437889332322972,0.00300686077716899
10,60,-3.17751221632084e-04,0.00293368473508234
10,70,2.00651687351136e-04,0.00297133567230396
10,80,-0.00622745525110784,0.00294472911958856
10,90,2.61045716063776e-04,0.00299676059896618
11,60,5.02150952063867e-04,0.00302816879634406
11,70,0.00266864978670587,0.00297413472385639
11,80,-1.56649637076354e-04,0.00302281131290558
11,90,0.00692259857057771,0.00293597024175824
12,60,0.00195469124205388,0.00291613716993936
12,70,-4.60865188820966e-04,0.00294976666201772
12,80,-0.00771901493407107,0.002848267541964
12,90,7.03310251332999e-04,0.00288317333480622
13,60,-0.00169686134900646,0.00304424426916549
13,70,4.86490442476498e-04,0.00292877492400315
13,80,-0.00211758253491652,0.00286020055508883
13,90,6.05637892263576e-04,0.0028336176447647
14,60,0.0021352878993377,0.00311548254655054
14,70,0.00161250536724823,0.00295036388630259
