"p1","p2","p3","p4","p5","p6","p7","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","subject_id"
0.514621515897628,0.258739030794556,4.65938005069846,0.979392494413005,0.115557686039822,1.46118438394942,7.11249083672385,0.577778642276432,51,51,NA,52,FALSE,FALSE,185.37,238
0.563767872896854,0.592449400154893,0,0.0289030779220653,0.025,6.24221165386332,4.03254742258834,0.541158682440328,77,77,NA,0,FALSE,TRUE,273.5,239
0.558915524872348,0.791879295881434,0.613427347778239,0,0.121556462908049,1.03890041265734,3.13818760510913,0.531492895955271,119,119,NA,0,FALSE,FALSE,397.11,240
0.509199259441535,0.331765746588153,4.89157879185626,0.0115230354348949,0.025,1.39280161649759,7.72519341882131,0.523430470514433,75,75,NA,0,FALSE,FALSE,260.69,241
0.499511733637085,0.548737053884175,0.768398286220976,0.0527138834478901,0.2,4.02928124636362,4.78336391333332,0.516403739364919,92,92,NA,0,FALSE,FALSE,302.64,242
0.458467279518339,0.595783798164628,1.08882473006051,0,0.025,2.14767582477263,4.35624070290149,0.519072599223465,156,156,NA,0,FALSE,FALSE,531.94,243
0.513106037880998,0.596753318720637,3.7589382510142,0,0.025,0.40817321141253,4.35975766626102,0.518830803039553,110,110,NA,1,FALSE,TRUE,377.25,244
0.518677513556437,0.432612000704413,4.38194190606267,0.943242635019111,0.0360851646259156,1.55636110521026,4.56405727555393,0.561975920874736,59,59,NA,52,FALSE,FALSE,210.8,245
0.509981617999353,0.615530056112224,1.25998914571393,0,0.2,0,4.17472907445784,0.522675511696972,27,27,NA,0,FALSE,FALSE,96.4499999999998,246
0.465698483658237,0.584943338702847,0.688947638582894,0.140633551213025,0.2,4.04671462071121,4.26072617157637,0.530539109482532,113,113,NA,1,FALSE,FALSE,399.36,247
0.526971431917601,0.565698672147492,0.736622223672738,0.0732102498971992,0.149095487333402,4.1874264641677,4.70010659685579,0.513585356560825,129,129,NA,52,FALSE,FALSE,446.38,248
0.502774273230762,0.618547883371054,0.171771460771851,0,0.0274469730952758,0,4.13636677109808,0.523967526086643,73,73,NA,0,TRUE,FALSE,264.12,249
0.01,0.06541761902037,0,3.64134854583508,0.2,6.10861846898075,5.07579405672934,0.488289844672067,108,108,NA,1,FALSE,TRUE,17.4800000000005,250
0.01,0.027896976154477,0.997237078380297,0.999993583825986,0.0500153906962821,3.1528669836454,4.99916284283957,2.04502291124989,33,33,NA,0,FALSE,FALSE,5.36999999999989,251
0.284364957622804,0.727922956366142,0,0.534404364380207,0.025,0.236224913493395,4.10159817306075,0.485686205363026,73,73,NA,0,FALSE,TRUE,11.6999999999998,252
0.460384424319179,0.326939089982753,5.20035091963665,0,0.144377123628784,0,4.95409033664129,0.608399216908495,119,119,NA,52,FALSE,FALSE,19.7299999999996,253
0.0125803415746836,0.0638817203190884,0.00995700111481972,2.21101169080863,0.191853588445539,4.58596777906669,4.46291285252162,0.574406124768796,107,107,NA,0,FALSE,FALSE,17.9200000000001,254
0.494508268261954,0.285883516499418,0.887325154096942,1.03800861617712,0.0310013514021377,3.26318309130861,4.76735896500218,0.617015194653996,95,95,NA,0,FALSE,FALSE,15.8299999999999,255
0.351593289356671,0.493995471914711,0,0.271205276193718,0.2,3.0056693199148,4.50465118896521,0.549992322322306,53,53,NA,0,FALSE,TRUE,8.51999999999953,256
0.559239817343445,0.77776927691588,2.75484265747496,0,0.0754331465419255,1.75557979400401,5.28221496910273,0.36101761723542,122,122,NA,0,FALSE,FALSE,19.6999999999998,257
0.01,0.140128150892226,0.245480926000951,1.04758037987236,0.196130855644387,3.61014103522405,4.74496162148003,0.413895691492043,58,58,NA,0,FALSE,FALSE,9.72999999999956,258
0.391870345837771,0.276747073208285,1.87269142359971,0.44294494125868,0.153635892449541,4.97148217916633,4.46390283967548,0.64293802988867,138,138,NA,1,FALSE,FALSE,24.3599999999997,259
0.535848442592389,0.829159974075613,2.78312996900002,0,0.2,3.94639684080713,4.78824362990583,0.369150131645454,65,65,NA,0,FALSE,FALSE,10.8299999999999,260
0.190478959886202,0.335294454415355,0,0.837208134621116,0.177034529909831,0,4.36704445794572,0.600848610584548,95,95,NA,52,FALSE,FALSE,16.8699999999999,261
0.494688722488106,0.557287744596525,0.437656319956774,0.216383104682394,0.181515201206947,4.13127926073096,4.69354208008833,0.517112200146042,66,66,NA,0,TRUE,FALSE,10.9300000000003,262
0.372873470496698,0.678856785644462,0.402106523337117,-1.11022302462516e-16,0.199371563679548,4.43064206884912,3.97909111668188,0.507623551619583,51,51,NA,0,FALSE,FALSE,8.49000000000069,263
0.741034761116708,4.20377168868468,0.515176221540042,0,0.2,1.25544179614731,1,0.364136231088499,115,115,NA,1,FALSE,TRUE,19.0500000000002,264
0.673847347058414,0.200386852926234,0.376252159572004,0,0.2,0.537716690961023,4.57177777079886,0.664264862462931,91,91,NA,0,FALSE,FALSE,15.0799999999999,265
0.605783982339581,0.290793891876929,1.35627658701083,0.13756757425952,0.199691709813464,2.97091395706483,5.04283838852762,0.625608524040964,147,147,NA,0,FALSE,FALSE,24.8600000000006,266
0.179871711548112,0.0639427721873098,1.00390633298611,1.02494853364458,0.154823938468128,3.30107581692748,4.98642840123963,0.667135964809752,68,68,NA,52,FALSE,FALSE,10.96,267
0.608209360645938,0.581006163103265,0,0.798214412726019,0.025,0.934950443697463,4.04266839758795,0.518775368659045,57,57,NA,0,FALSE,TRUE,9.28999999999996,268
