"","subject_id","study_id","full_AIC","reduced_AIC","beta_Stimulus","beta_History","diff_AIC"
"1",238,"12",3556.50715452632,3606.48260271126,2.61291403013296,0.605059614018932,49.9754481849418
"2",239,"12",3843.8795282213,3978.86067294491,2.50121080082901,-0.937814394717457,NA
"3",240,"12",3634.84133410678,3718.70728281912,2.58603549244537,-0.772562084972703,83.8659487123359
"4",241,"12",3671.59406067506,3711.99053657816,2.63253889781786,-0.53590480817334,40.3964759030973
"5",242,"12",3360.61720062297,3359.05492140923,2.88671378767376,0.0579859694292624,-1.56227921374648
"6",243,"12",3274.98070589599,3303.4648087525,3.01190036084291,0.492035694911194,28.4841028565143
"7",244,"12",3485.87579179355,3499.12823078081,2.68466271932874,-0.33191468776398,13.2524389872615
"8",245,"12",3376.76647794832,3398.44605229678,2.88143077519319,-0.427755524280567,21.6795743484681
"9",246,"12",3695.95108871157,3694.13440212246,2.64457380900384,-0.0352387209121663,-1.81668658911576
"10",247,"12",3658.80886472305,3659.19030190278,2.57184475234053,0.128140030614816,0.381437179724344
"11",248,"12",3552.24446962955,3550.31158397992,2.69876847942797,0.0217896414065358,-1.9328856496254
"12",249,"12",3600.38809111723,3601.42669067359,2.7502936221033,0.147071141098399,1.03859955635289
"13",250,"13",151.587904066587,211.339772992246,2.43769924949704,3.46955092971196,59.7518689256588
"14",251,"13",156.457453662869,154.60518257771,3.89263431016457,-0.164536092319693,-1.85227108515872
"15",252,"13",202.880976491561,207.599760610455,2.80092897113534,0.93816042040531,4.71878411889372
"16",253,"13",244.504775974443,243.549241118522,1.65944013244756,-0.327214902990135,-0.955534855921201
"17",254,"13",278.697428356923,279.570852652982,0.271921745455526,0.485346166701979,0.873424296058147
"18",255,"13",262.125069923213,260.187062050728,1.29984654654459,0.0746316409101418,-1.93800787248512
"19",256,"13",162.394690467078,188.377019577774,3.34359312145402,2.26640413542914,25.9823291106958
"20",257,"13",149.046994362879,147.221645819103,4.22335271254627,0.185192788217004,-1.82534854377516
"21",258,"13",146.74791910422,160.977677660163,1.55970273271075,1.89707219014358,14.2297585559434
"22",259,"13",249.92158700822,264.014674452497,1.3487091519155,1.22664308956367,14.0930874442774
"23",260,"13",156.541526347915,154.682339845609,3.90629967879602,0.161174497288369,-1.85918650230553
"24",261,"13",218.589431802149,255.051761163447,1.83447280281499,2.03961129604246,36.4623293612987
"25",262,"13",205.435906658282,206.926840228105,2.82132311739985,0.657451645273522,1.49093356982283
"26",263,"13",188.03833714802,202.114487948231,3.28441227927724,1.53742128161817,14.0761508002112
"27",264,"13",153.198853257744,154.19286033281,3.98161666886253,-0.746313479397585,0.994007075066662
"28",265,"13",267.327491662346,271.895611011899,1.00388522896769,0.760607207002442,4.56811934955249
"29",266,"13",231.456967560004,245.691682163053,1.8718071428014,1.32470892201166,14.2347146030494
"30",267,"13",224.70621864411,228.61345788747,1.1718543876165,0.85092030563208,3.90723924335984
"31",268,"13",223.204807044055,221.880459525397,2.37754316092727,-0.275722228503036,-1.32434751865748
"32",269,"13",208.585510567312,206.717021601059,2.66011408067722,-0.128883903770589,-1.86848896625318
"33",270,"13",220.921166404704,222.05598178315,2.42165414168219,0.597655173074614,1.1348153784455
"34",271,"13",250.084267873382,249.384363445496,1.66857042995655,0.351862627040029,-0.699904427885514
"35",272,"13",188.500389281418,189.644440399862,3.2095151826558,0.665737324114365,1.14405111844368
"36",273,"13",249.27178379274,258.328325586215,0.897123962232214,1.03814793161609,9.05654179347482
"37",274,"13",244.19826725811,243.041194632644,1.81307242182578,0.289034823131512,-1.15707262546579
"38",275,"13",171.294270742135,174.613421548922,3.66234157073691,0.957824763600495,3.31915080678743
"39",276,"13",210.545387889181,251.008867991889,0.675654456607038,2.18017957895444,40.4634801027084
"40",277,"13",139.426490881238,145.398704159269,4.91738227851138,1.56692053099015,5.97221327803098
"41",278,"13",253.372587693797,258.732529720638,1.43336565400098,0.831557292019138,5.3599420268406
"42",279,"13",256.373055437965,268.619908993369,1.26508454577084,1.15712470096387,12.2468535554037
"43",280,"13",214.684370286632,222.021582249644,2.37890441786346,1.04654380689727,7.33721196301227
"44",281,"13",186.060697643323,221.385497930649,2.96176287743374,2.44310316149572,35.3248002873259
"45",282,"13",240.800419801607,259.062157893165,1.52736539884925,1.40330761376881,18.2617380915578
"46",283,"13",133.942955477847,133.472320637252,4.94276247353904,0.583461468347105,-0.470634840595693
"47",284,"13",117.075228993466,115.439816836049,5.0861490003065,-0.31064558614895,-1.63541215741733
"48",285,"13",248.550879139576,246.559559236973,1.58821628556822,0.0293149962759205,-1.99131990260236
"49",286,"13",197.616398964209,202.831474328656,3.0202047646872,0.980863841112196,5.21507536444653
"50",287,"13",171.657428451433,177.640972108575,3.68982209263653,1.14510433928911,5.98354365714198
"51",288,"13",171.430098990956,169.437817135158,3.55456175878707,-0.0355267293811838,-1.99228185579801
"52",289,"13",254.524437803668,252.797945303534,1.49437167997231,0.160550974890101,-1.72649250013382
"53",290,"13",272.662199495064,270.926069317732,-0.237299021091187,-0.154304697156064,-1.73613017733157
"54",291,"13",253.218612513089,255.710441057292,1.54473345519888,0.664497721561191,2.49182854420343
"55",292,"13",176.56772403207,175.357174203799,3.44507155813258,0.357684452134135,-1.21054982827107
"56",293,"13",151.017310539461,155.927526180736,4.19750358867789,1.21196434422838,4.91021564127504
"57",294,"13",177.774787189831,196.867749140399,3.56621279647804,1.90943935250835,19.0929619505682
"58",295,"13",218.748306007344,216.759770225867,2.4901557782416,0.0366039810020551,-1.98853578147654
