"p1","p2","p3","p4","p5","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","subject_id","trial_n","free_param","type","AIC","cAIC"
0.37077991568532,2.46740504431936,0.811100925637208,0.0480712468700927,1.42368305003702,1857.2627041218,164,164,NA,52,FALSE,FALSE,569.94,238,3500,5,"fit_glaze_osc_zeta_v4_Prior_amp",3724.52540824361,3724.54258053897
0.610157481508437,2.39991737485457,1.05378767026112,0.0557876630620365,4.18912121999745,1990.53958413513,37,37,NA,0,FALSE,FALSE,134.14,239,3679,5,"fit_glaze_osc_zeta_v4_Prior_amp",3991.07916827025,3991.09550369089
0.5586780402842,2.48162357097718,0.175983158744084,0.025,2.06942464762621,1879.15817704221,30,30,NA,0,FALSE,FALSE,100.14,240,3531,5,"fit_glaze_osc_zeta_v4_Prior_amp",3768.31635408442,3768.33337536102
0.589603554078834,2.57016709827,0.971748566709943,0.025,1.51189088688257,1860.63130411355,82,82,NA,0,FALSE,TRUE,280.31,241,3563,5,"fit_glaze_osc_zeta_v4_Prior_amp",3731.2626082271,3731.27947637441
0.51320418708192,2.63007604068145,1.03826313454248,0.0256113525755336,1.92700215829312,1790.8670453136,31,31,NA,0,FALSE,FALSE,106.3,242,3467,5,"fit_glaze_osc_zeta_v4_Prior_amp",3591.7340906272,3591.75142665725
0.428862250723619,2.5935790312842,1.19101813812391,0.137662723028286,1.11370238213961,1807.06577558232,88,88,NA,52,FALSE,FALSE,296.58,243,3479,5,"fit_glaze_osc_zeta_v4_Prior_amp",3624.13155116465,3624.14882729479
0.53686770151148,2.59675733131576,4.16756246675005,0.2,0,1783.60494315247,52,52,NA,0,FALSE,TRUE,178.78,244,3434,5,"fit_glaze_osc_zeta_v4_Prior_amp",3577.20988630494,3577.2273892221
0.544651078287861,2.66726696562878,1.0250575211874,0.156550933238172,0.822922149529276,1799.63488834326,65,65,NA,0,FALSE,FALSE,231.83,245,3516,5,"fit_glaze_osc_zeta_v4_Prior_amp",3609.26977668652,3609.28687070361
0.524951642667791,2.57203128432678,1.02103291959272,0.0839094040176337,1.04760484470491,1882.72806669516,73,73,NA,0,FALSE,FALSE,260.81,246,3603,5,"fit_glaze_osc_zeta_v4_Prior_amp",3775.45613339032,3775.47281395746
0.429406858762231,2.48442160665921,2.84759099058189,0.025,1.82525240061569,1885.8341220032,105,105,NA,1,FALSE,TRUE,349.05,247,3545,5,"fit_glaze_osc_zeta_v4_Prior_amp",3781.6682440064,3781.68519794819
