"p1","p2","p3","p4","p5","p6","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","subject_id","trial_n","free_param","type","AIC","cAIC"
0.416086680748172,0.403494953008875,0,0.025,6.280043714526,6.10628042480536,1858.30563312229,147,147,NA,1,FALSE,TRUE,611.74,238,3500,6,"fit_glaze_osc_zeta_v1_one_amp",3728.61126624458,3728.63531434077
0.563449371116122,0.591386002966792,0,0.2,6.280043714526,4.03680474269005,1991.11669271731,143,143,NA,1,FALSE,TRUE,596.31,239,3679,6,"fit_glaze_osc_zeta_v1_one_amp",3994.23338543461,3994.2562612516
0.548762820440523,0.743645036152663,0,0.025,0,3.3377530805917,1879.12514230457,146,146,NA,1,FALSE,TRUE,575.74,240,3531,6,"fit_glaze_osc_zeta_v1_one_amp",3770.25028460914,3770.27412115852
0.563376260657318,2.57032838881118,0,0.2,6.280043714526,1,1861.24035773844,14,14,NA,0,FALSE,TRUE,58.8100000000004,241,3563,6,"fit_glaze_osc_zeta_v1_one_amp",3734.48071547688,3734.50433752412
0.504976750572403,1.63110004623911,0,0.0358965765041609,6.17699390644975,1.6104436871371,1790.98102666311,80,80,NA,0,FALSE,FALSE,316.05,242,3467,6,"fit_glaze_osc_zeta_v1_one_amp",3593.96205332621,3593.98633078286
0.452587315584931,2.53828825493017,0.0883257227495852,0.2,1.61386654563959,1.02122413446816,1805.68144754658,75,75,NA,0,FALSE,TRUE,283.03,243,3479,6,"fit_glaze_osc_zeta_v1_one_amp",3623.36289509315,3623.38708864154
0.513858726752675,2.51150016503013,0,0.025,6.280043714526,1.03462333037276,1784.14305925875,14,14,NA,0,FALSE,FALSE,51.21,244,3434,6,"fit_glaze_osc_zeta_v1_one_amp",3580.2861185175,3580.31062975182
0.51941078493468,1.46504726073879,0,0.025,6.280043714526,1.81868268865527,1800.55448835367,17,17,NA,0,FALSE,FALSE,63.8400000000001,245,3516,6,"fit_glaze_osc_zeta_v1_one_amp",3613.10897670733,3613.13291515133
0.511862760514534,2.49360346846937,0,0.2,6.280043714526,1.03022964202688,1883.3517646973,12,12,NA,0,TRUE,FALSE,46.4000000000001,246,3603,6,"fit_glaze_osc_zeta_v1_one_amp",3778.7035293946,3778.7268886827
0.513955565410907,0.0493757601443725,5.45307734270958,0.0959699873887612,0.355633224737919,3.02020885549836,2415.15997926154,48,48,NA,0,FALSE,FALSE,182.04,247,3545,6,"fit_glaze_osc_zeta_v1_one_amp",4842.31995852307,4842.34370075032
0.513260779734501,0.486293430650564,0.105729032337073,0.165259367454514,3.6695026519309,5.4681731340878,1800.0086154223,85,85,NA,0,FALSE,FALSE,320.68,248,3503,6,"fit_glaze_osc_zeta_v1_one_amp",3612.0172308446,3612.04125830455
0.499399893281115,1.64314399592065,0.00176747065100486,0.025,0,1.55706634806375,1889.44229007549,22,22,NA,0,FALSE,FALSE,83.4899999999998,249,3606,6,"fit_glaze_osc_zeta_v1_one_amp",3790.88458015099,3790.9079199676
0.99,0.0400200627159046,0,0.2,6.280043714526,1.00357197366335,138.543255365072,8,8,NA,0,FALSE,FALSE,1.35000000000036,250,200,6,"fit_glaze_osc_zeta_v1_one_amp",289.086510730144,289.521743890766
0.484340251040712,2.85439303216737,0,0.2,0,1.36393665189843,75.324621650626,134,134,NA,0,FALSE,FALSE,23.71,251,200,6,"fit_glaze_osc_zeta_v1_one_amp",162.649243301252,163.084476461874
0.366659861007797,0.673852396887195,0.12986317805924,0.106199907473783,6.280043714526,4.02298850265792,100.72450596088,88,88,NA,0,FALSE,FALSE,15.21,252,200,6,"fit_glaze_osc_zeta_v1_one_amp",213.449011921761,213.884245082382
0.240199802600947,0.696014274416926,1.21238497169081,0.025,0.858619662983495,2.64482395803468,108.919084098529,255,255,NA,0,FALSE,FALSE,46.9899999999998,253,200,6,"fit_glaze_osc_zeta_v1_one_amp",229.838168197058,230.27340135768
0.0867196466622229,0.0422328670384178,0.863597386019505,0.1862468528973,0.128663676252986,1.00076235469238,134.778300547422,35,35,NA,0,FALSE,FALSE,6.48999999999978,254,200,6,"fit_glaze_osc_zeta_v1_one_amp",281.556601094844,281.991834255465
0.427325683337838,0.654792875843554,0.296565082051908,0.182520508469602,6.280043714526,1.99402973579719,128.287093805806,69,69,NA,0,TRUE,FALSE,12.0799999999999,255,200,6,"fit_glaze_osc_zeta_v1_one_amp",268.574187611612,269.009420772234
0.358543475881356,2.22850664989253,0,0.2,0,1,110.709876388946,36,36,NA,0,FALSE,TRUE,6.32999999999993,256,200,6,"fit_glaze_osc_zeta_v1_one_amp",233.419752777891,233.854985938513
0.01,0.0100000000000082,1.02072753654194,0.0499424235096003,1.80715870206996,4.99078776153692,303.905465123476,28,28,NA,0,FALSE,FALSE,4.89000000000033,257,200,6,"fit_glaze_osc_zeta_v1_one_amp",619.810930246952,620.246163407574
0.01,0.0652832382551556,0,0.025,0,10,94.9290684753062,75,75,NA,0,FALSE,TRUE,12.8399999999992,258,200,6,"fit_glaze_osc_zeta_v1_one_amp",201.858136950612,202.293370111234
0.385383040146098,0.75785610883692,0.580396233858041,0.0440849637288305,0.875211614751258,1.79506619538599,128.156663784434,64,64,NA,0,FALSE,FALSE,11.0500000000002,259,200,6,"fit_glaze_osc_zeta_v1_one_amp",268.313327568867,268.748560729489
0.560150346354739,3.91491910392659,0.0611416872552215,0.110877565280619,0,1,74.8901191229524,76,76,NA,0,TRUE,TRUE,13,260,200,6,"fit_glaze_osc_zeta_v1_one_amp",161.780238245905,162.215471406527
0.288912248545148,0.952576108220485,0.715512964364019,0.187210196176337,5.88790441826041,1.590642654534,121.194979840212,93,93,NA,0,FALSE,FALSE,15.7699999999995,261,200,6,"fit_glaze_osc_zeta_v1_one_amp",254.389959680425,254.825192841046
0.486896741790285,2.18876599321845,0,0.025,0,1.18229710847485,104.086831252154,20,20,NA,0,FALSE,TRUE,3.23000000000047,262,200,6,"fit_glaze_osc_zeta_v1_one_amp",220.173662504307,220.608895664929
0.350067182484774,1.84802712124573,0.397249526581259,0.2,6.280043714526,1.50266395425793,99.1809525346413,33,33,NA,0,FALSE,TRUE,5.39999999999964,263,200,6,"fit_glaze_osc_zeta_v1_one_amp",210.361905069283,210.797138229904
0.695994640380277,3.98179479145773,0.287636147840128,0.025,1.64698894984742,1,71.9456134441325,113,113,NA,1,FALSE,TRUE,19.25,264,200,6,"fit_glaze_osc_zeta_v1_one_amp",155.891226888265,156.326460048887
0.01,0.0179390482341187,0.385669774837507,0.2,4.93965899722957,2.06524729102938,135.222314205995,92,92,NA,0,FALSE,FALSE,16.6400000000003,265,200,6,"fit_glaze_osc_zeta_v1_one_amp",282.444628411991,282.879861572612
