"p1","p2","p3","p4","p5","p6","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","subject_id","trial_n","free_param","type","AIC","cAIC"
0.400925676257902,0.64698272557787,0.751512712518749,0.0961278979766969,3.33179654214581,4.80716753165489,1881.67930104477,178,178,NA,0,FALSE,FALSE,422.789999999979,238,3500,6,"fit_glaze_osc_zeta_v4_LLR_amp",3775.35860208953,3775.38265018572
0.551588700737118,0.661477093044314,0.894466430230467,0.0875227982444004,3.21019441908543,5.09785175528733,2012.34145727784,63,63,NA,52,FALSE,FALSE,155.589999999997,239,3679,6,"fit_glaze_osc_zeta_v4_LLR_amp",4036.68291455568,4036.70579037267
0.549349697316173,0.515507410703603,0.0670520170137683,0.0368982214782313,3.09741891353697,4.97080645105295,1878.77847688053,99,99,NA,0,FALSE,FALSE,236.300000000017,240,3531,6,"fit_glaze_osc_zeta_v4_LLR_amp",3769.55695376106,3769.58079031044
0.566210444787164,0.692653849356277,0.896733142206098,0.0435271476094,3.2387099852467,5.08860380801471,1891.61478586815,64,64,NA,52,FALSE,FALSE,151.76999999999,241,3563,6,"fit_glaze_osc_zeta_v4_LLR_amp",3795.22957173631,3795.25319378355
0.504734195756998,0.552810093675021,0.0632976866124165,0.025,1.90912265161754,4.90065425686531,1790.73193912303,57,57,NA,0,FALSE,TRUE,130.970000000001,242,3467,6,"fit_glaze_osc_zeta_v4_LLR_amp",3593.46387824605,3593.4881557027
0.447423639551571,0.742354954424203,0.738766944016832,0.199558906999802,2.37538972057318,4.45692711820914,1820.74978895799,160,160,NA,0,FALSE,FALSE,368.669999999984,243,3479,6,"fit_glaze_osc_zeta_v4_LLR_amp",3653.49957791599,3653.52377146438
0.512921662349596,0.520252163714571,0.0357754421518646,0.025,3.11827221476827,5.08249087223739,1784.06151193634,38,38,NA,0,FALSE,FALSE,87.0400000000081,244,3434,6,"fit_glaze_osc_zeta_v4_LLR_amp",3580.12302387268,3580.14753510699
0.530962868310756,0.676056119583647,0.878174936619813,0.0506635518607544,2.98756922056086,5.26914504834985,1841.62633385925,52,52,NA,0,FALSE,FALSE,122.890000000014,245,3516,6,"fit_glaze_osc_zeta_v4_LLR_amp",3695.25266771851,3695.27660616251
0.512818323218983,0.670487386029937,0.895334072641419,0.114287677312743,3.26314875402542,5.18914339464024,1913.87997402493,48,48,NA,0,FALSE,FALSE,117.390000000014,246,3603,6,"fit_glaze_osc_zeta_v4_LLR_amp",3839.75994804986,3839.78330733795
0.473938082614301,0.550849874161034,0.339434010805716,0.2,3.57550995494143,5.29028268586026,1882.65362117098,112,112,NA,1,FALSE,FALSE,267.859999999986,247,3545,6,"fit_glaze_osc_zeta_v4_LLR_amp",3777.30724234196,3777.3309845692
0.51998893382015,0.668548350219811,0.851666308312096,0.0441411994820621,3.27346819317658,4.95295276099969,1842.98752149217,88,88,NA,0,FALSE,FALSE,207.589999999997,248,3503,6,"fit_glaze_osc_zeta_v4_LLR_amp",3697.97504298435,3697.9990704443
0.499421648381311,0.519874641307093,0,0.025,0.836993238656731,4.92122352330893,1889.44307487494,19,19,NA,0,TRUE,FALSE,46.1100000000151,249,3606,6,"fit_glaze_osc_zeta_v4_LLR_amp",3790.88614974988,3790.9094895665
0.01,0.237932355932163,8.02193722595831,0.0709210662360118,0.0735192144200482,4.99480265092379,97.4491010139679,70,70,NA,0,FALSE,FALSE,7.75999999998021,250,200,6,"fit_glaze_osc_zeta_v4_LLR_amp",206.898202027936,207.333435188558
0.501203372447209,1.09360018836087,0.729070093036338,0.192255156833662,5.09010634547476,5.00699492076083,72.7527943216815,54,54,NA,0,FALSE,FALSE,5.80999999999767,251,200,6,"fit_glaze_osc_zeta_v4_LLR_amp",157.505588643363,157.940821803985
