"p1","p2","p3","p4","p5","p6","p7","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","subject_id","trial_n","free_param","type","AIC","cAIC"
0.410328631549303,1.86851010422162,0.0162548242062936,0.127819730828522,0.186648413489366,6.15518839122271,1.33254874318275,1854.49079594336,78,78,NA,0,FALSE,FALSE,374.28,238,3500,7,"fit_glaze_osc_zeta_v1",3722.98159188672,3723.01366519715
0.344179845568266,0.0607525491987995,1.42064591863869,9.09857171133218,0.196479182681564,0.0405442965598291,1.00984509497248,2527.85060963196,272,272,NA,0,FALSE,FALSE,1314.13,239,3679,7,"fit_glaze_osc_zeta_v1",5069.70121926392,5069.7317286619
0.471966335522838,0.0644358141441452,5.06700921265961,4.3281142193559,0.0695761803208861,3.44753905298264,3.02698544889534,2383.58930508384,138,138,NA,0,FALSE,FALSE,640.59,240,3531,7,"fit_glaze_osc_zeta_v1",4781.17861016768,4781.21040125482
0.0147398344970377,0.106682952837598,1.04352909333002,0.995163434075115,0.0507254847180731,2.37801216819861,5.02418282963089,15402.9346274549,37,37,NA,0,FALSE,FALSE,166.02,241,3563,7,"fit_glaze_osc_zeta_v1",30819.8692549098,30819.9007598325
0.506753747906578,1.28092967471616,5.26804638720695,0,0.195835704952522,6.280043714526,2.05285253446429,1789.79219079402,110,110,NA,52,FALSE,FALSE,482.28,242,3467,7,"fit_glaze_osc_zeta_v1",3593.58438158804,3593.61676088842
0.01,0.0113489750013692,0,9.99999960940829,0.2,6.280043714526,1.00001915053776,2394.31739381646,46,46,NA,0,FALSE,FALSE,198.19,243,3479,7,"fit_glaze_osc_zeta_v1",4802.63478763292,4802.66705499103
0.376602636632243,0.0513812040016937,0.171587370244643,9.39605658092418,0.086214128837342,5.77521128455066,1.00029357519866,2361.8032955808,79,79,NA,0,FALSE,FALSE,336.64,244,3434,7,"fit_glaze_osc_zeta_v1",4737.6065911616,4737.63928234666
0.520001948278051,1.76819003096705,0.161752588240715,0.047158864542034,0.181147915684665,6.18655234257622,1.51581590541136,1799.73067291211,70,70,NA,0,FALSE,FALSE,286.58,245,3516,7,"fit_glaze_osc_zeta_v1",3613.46134582423,3613.49327284817
0.511770892361503,2.09964559274687,0.0253252377543311,0,0.178771607747655,6.280043714526,1.22383364208755,1883.33956141326,245,245,NA,0,FALSE,FALSE,1017.21,246,3603,7,"fit_glaze_osc_zeta_v1",3780.67912282651,3780.7102772076
0.317725763659806,0.0662999288188094,0.229760991958405,8.83951416966125,0.025,5.16823146006359,1.00000032590613,2434.86726043412,112,112,NA,1,FALSE,FALSE,451.42,247,3545,7,"fit_glaze_osc_zeta_v1",4883.73452086824,4883.76618612128
0.517154395548924,2.49571857528695,5.19548729681069e-04,0.0940675153278579,0.2,0,1.05907757926863,1802.11765166521,29,29,NA,0,FALSE,TRUE,113.75,248,3503,7,"fit_glaze_osc_zeta_v1",3618.23530333042,3618.2673491101
0.498095998055029,1.42041295895998,0.10887613847203,0.0404226932433936,0.0707536137775685,2.53824899941359e-05,1.80569213295218,1889.07293584334,87,87,NA,52,FALSE,FALSE,355.179999999999,249,3606,7,"fit_glaze_osc_zeta_v1",3792.14587168668,3792.17700009135
0.01,0.0100261294209369,0,8.7653245355022,0.2,0,10,101.82097129428,74,74,NA,52,FALSE,FALSE,14.5900000000001,250,200,7,"fit_glaze_osc_zeta_v1",217.641942588561,218.225275921894
0.429269081628592,2.07014974210786,1.61026665166755,0.465663411446134,0.0291781837885025,0.186931701214355,2.00774392775243,71.3989955801603,129,129,NA,1,FALSE,FALSE,25.1299999999992,251,200,7,"fit_glaze_osc_zeta_v1",156.797991160321,157.381324493654
0.288858044651981,0.591319796087577,0,0.514228434368351,0.025,0.186695467917895,5.08943166647647,97.123642954462,118,118,NA,1,FALSE,TRUE,23.7800000000007,252,200,7,"fit_glaze_osc_zeta_v1",208.247285908924,208.830619242257
0.01,0.0280597822566095,0.0487307647726537,9.98896847841404,0.195429917537537,6.280043714526,1,132.628209736627,43,43,NA,0,FALSE,FALSE,8.30000000000018,253,200,7,"fit_glaze_osc_zeta_v1",279.256419473253,279.839752806586
0.706860217313898,0.167379863921005,2.08912007058908,5.39327623907713,0.191096741804127,5.68235477536666,1,134.821336360631,108,108,NA,0,FALSE,FALSE,21.7000000000007,254,200,7,"fit_glaze_osc_zeta_v1",283.642672721263,284.226006054596
0.442032885956367,0.934820840950938,0,0,0.025,0.34685794159352,1.38322203245942,128.68903421119,26,26,NA,0,FALSE,FALSE,4.75,255,200,7,"fit_glaze_osc_zeta_v1",271.37806842238,271.961401755714
0.22179814502579,0.446378542691086,1.04588261650913,0.85512594247817,0.0327001529156298,0.436465219037162,5.0807560196895,93.5367514381147,114,114,NA,0,FALSE,FALSE,22.7799999999997,256,200,7,"fit_glaze_osc_zeta_v1",201.073502876229,201.656836209563
0.571348908314237,3.49300543177769,0,0.24377206662952,0.025,0,1.19474049045985,73.4458877421421,59,59,NA,0,FALSE,FALSE,12.21,257,200,7,"fit_glaze_osc_zeta_v1",160.891775484284,161.475108817618
0.01,0.152097787793374,0.0606864884566706,1.55142802438074,0.0287850442887944,1.45702541333644,5.36512175589831,72.6638803030217,122,122,NA,0,FALSE,FALSE,25.2200000000003,258,200,7,"fit_glaze_osc_zeta_v1",159.327760606043,159.911093939377
0.469626386193589,1.30308423609809,10,0,0.0271036474500891,5.96254948506041,1,127.789534279296,133,133,NA,0,FALSE,TRUE,27,259,200,7,"fit_glaze_osc_zeta_v1",269.579068558592,270.162401891925
