"p1","p2","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","subject_id","session_id","trial_n","free_param","type","AIC","cAIC"
0.559207650687477,2.21493720214781,281.994074392372,14,14,NA,0,TRUE,TRUE,2.22999999999999,1,30,583,2,"fit_glaze_osc_zeta_v4_no_amp_mouse",567.988148784743,568.008838439916
0.477294913637629,2.30796110278109,449.472117269415,11,11,NA,0,TRUE,TRUE,3.47999999999999,1,43,885,2,"fit_glaze_osc_zeta_v4_no_amp_mouse",902.94423453883,902.957839981007
0.535094868457232,3.48478388922786,265.861166104441,15,15,NA,0,TRUE,TRUE,2.16,1,45,500,2,"fit_glaze_osc_zeta_v4_no_amp_mouse",535.722332208882,535.746477078098
0.476004292056806,2.06965795654709,369.262843868205,14,14,NA,0,TRUE,TRUE,3.03,1,48,597,2,"fit_glaze_osc_zeta_v4_no_amp_mouse",742.525687736411,742.545889756613
0.490643720031944,2.8767530083291,412.412941844787,11,11,NA,0,TRUE,TRUE,2.39000000000001,1,49,708,2,"fit_glaze_osc_zeta_v4_no_amp_mouse",828.825883689574,828.84290496617
0.582850277237402,2.89498524547254,399.140964272375,15,15,NA,0,TRUE,TRUE,3.03,1,53,693,2,"fit_glaze_osc_zeta_v4_no_amp_mouse",802.28192854475,802.299319849098
0.478582268795846,2.37377044788859,588.315094088658,14,14,NA,0,TRUE,TRUE,4.45000000000002,1,54,998,2,"fit_glaze_osc_zeta_v4_no_amp_mouse",1180.63018817732,1180.64224847882
0.0110481979215262,0.246320054407313,300.699117560846,28,28,NA,0,FALSE,TRUE,4.01999999999998,1,55,445,2,"fit_glaze_osc_zeta_v4_no_amp_mouse",605.398235121692,605.425384442959
0.615052968822193,2.98066493799345,490.387311454814,16,16,NA,0,TRUE,TRUE,4.31999999999999,1,56,860,2,"fit_glaze_osc_zeta_v4_no_amp_mouse",984.774622909628,984.78862524335
0.588380611609796,2.36490299013632,470.057499917881,16,16,NA,0,TRUE,TRUE,4.11000000000001,1,57,788,2,"fit_glaze_osc_zeta_v4_no_amp_mouse",944.114999835761,944.130286459965
0.507990626416501,3.06887492571367,405.220587085194,16,16,NA,0,TRUE,TRUE,3.85999999999999,1,58,722,2,"fit_glaze_osc_zeta_v4_no_amp_mouse",814.441174170387,814.457864017397
0.462755848934291,1.92791418262233,425.847900842119,16,16,NA,0,TRUE,TRUE,3.59,1,59,696,2,"fit_glaze_osc_zeta_v4_no_amp_mouse",855.695801684237,855.713117701553
0.599339182110414,1.81253426090513,257.580089372929,16,16,NA,0,TRUE,TRUE,2.07999999999998,1,60,415,2,"fit_glaze_osc_zeta_v4_no_amp_mouse",519.160178745858,519.18930495945
0.432245169463274,1.564976137493,494.942310191828,15,15,NA,0,TRUE,TRUE,3.76000000000002,1,63,783,2,"fit_glaze_osc_zeta_v4_no_amp_mouse",993.884620383656,993.900004999041
0.539706991219113,2.73269597644046,288.553584852737,14,14,NA,0,TRUE,TRUE,2.06999999999999,1,64,492,2,"fit_glaze_osc_zeta_v4_no_amp_mouse",581.107169705473,581.131709582774
0.58516464704604,5.02543323088332,512.006532764907,13,13,NA,0,TRUE,TRUE,4.45000000000002,1,65,1016,2,"fit_glaze_osc_zeta_v4_no_amp_mouse",1028.01306552981,1028.02491153179
0.498303688519416,3.20363116422283,326.217943438327,14,14,NA,0,TRUE,TRUE,2.62,1,66,595,2,"fit_glaze_osc_zeta_v4_no_amp_mouse",656.435886876654,656.456157146925
0.556160508657252,2.65206176188632,403.567457836714,18,18,NA,0,TRUE,TRUE,3.86000000000001,1,67,697,2,"fit_glaze_osc_zeta_v4_no_amp_mouse",811.134915673427,811.15220673971
0.507977292794867,3.49692552370366,483.088685556533,15,15,NA,0,TRUE,TRUE,4.21000000000001,1,68,875,2,"fit_glaze_osc_zeta_v4_no_amp_mouse",970.177371113066,970.191132580956
0.573008633677838,3.13839986817767,339.61004206922,18,18,NA,0,TRUE,TRUE,5.09,2,21,829,2,"fit_glaze_osc_zeta_v4_no_amp_mouse",683.22008413844,683.234611983476
0.547782096405706,4.96665991279963,490.89103220039,12,12,NA,0,TRUE,TRUE,3.99000000000001,2,22,1057,2,"fit_glaze_osc_zeta_v4_no_amp_mouse",985.782064400781,985.793449600022
0.535335759167968,3.66687336059985,445.972960145253,13,13,NA,0,TRUE,TRUE,3.47000000000003,2,25,809,2,"fit_glaze_osc_zeta_v4_no_amp_mouse",895.945920290505,895.960808627974
0.583999521691531,2.46413003993602,503.916810965052,15,15,NA,0,TRUE,TRUE,4.40000000000003,2,26,864,2,"fit_glaze_osc_zeta_v4_no_amp_mouse",1011.8336219301,1011.84755921233
0.622416630412659,3.19752811440271,378.177428786261,16,16,NA,0,TRUE,TRUE,3.42000000000002,2,27,673,2,"fit_glaze_osc_zeta_v4_no_amp_mouse",760.354857572522,760.372768020283
0.4810189054401,4.90071984577373,461.628469335626,16,16,NA,0,TRUE,TRUE,4.93000000000001,2,28,927,2,"fit_glaze_osc_zeta_v4_no_amp_mouse",927.256938671252,927.269925684239
0.521585428013377,5.18272472370003,396.77519912018,12,12,NA,0,TRUE,TRUE,3,2,29,801,2,"fit_glaze_osc_zeta_v4_no_amp_mouse",797.550398240359,797.565435834344
0.520549652680075,2.81399388643907,170.247591706105,22,22,NA,0,TRUE,TRUE,1.97000000000003,2,31,301,2,"fit_glaze_osc_zeta_v4_no_amp_mouse",344.49518341221,344.535451868586
