"p1","p2","p3","p4","p5","p6","p7","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","subject_id","session_id","trial_n","free_param","type","AIC","cAIC"
0.231122742507644,0.0430860159687873,0,9.99064533872515,0.196610540158688,0,1.00386347858145,399.308987167547,51,51,NA,0,FALSE,FALSE,29.75,1,30,583,7,"fit_glaze_osc_zeta_v1_mouse",812.617974335094,812.81275694379
0.494858794431304,0.844056819664251,0.502053266729542,0.38134361125765,0.025,0.472066482682384,2.97362315459869,441.354957532248,99,99,NA,0,FALSE,FALSE,89.6800000000003,1,43,885,7,"fit_glaze_osc_zeta_v1_mouse",896.709915064495,896.837623160277
0.51066491065078,1.60261790743634,0.0284794643420099,0.451664050914439,0.192870009531409,0.855757549858503,2.56491910068042,262.379543443302,71,71,NA,0,FALSE,FALSE,34.5900000000001,1,45,500,7,"fit_glaze_osc_zeta_v1_mouse",538.759086886604,538.986729163026
0.463290215067888,2.17694799741452,0.423160203627453,0.539531440664017,0.0598431592816718,6.280043714526,1.10233875630095,364.604046109723,56,56,NA,0,FALSE,FALSE,33.75,1,48,597,7,"fit_glaze_osc_zeta_v1_mouse",743.208092219446,743.398245020804
0.515522071541931,1.29704085599782,0.728660106996329,0,0.0516336230435501,1.17875173515213,2.21646138227069,412.302695939642,45,45,NA,0,FALSE,FALSE,34.0200000000004,1,49,708,7,"fit_glaze_osc_zeta_v1_mouse",838.605391879284,838.765391879284
0.582854469178688,2.89641477690938,0,0.00674943967907208,0.025,0,1,399.140048528702,55,55,NA,0,FALSE,TRUE,46.25,1,53,693,7,"fit_glaze_osc_zeta_v1_mouse",812.280097057403,812.443600707038
0.693365271810556,0.0440756939992604,2.03784807437e-05,9.9304798208764,0.0281473998574252,7.93708037519665e-05,1.00045367876874,688.299587524426,44,44,NA,0,FALSE,FALSE,55.2700000000004,1,54,998,7,"fit_glaze_osc_zeta_v1_mouse",1390.59917504885,1390.71230636198
0.925267836783832,0.01,0,9.98733938495279,0.2,6.280043714526,1,308.307331826063,15,15,NA,0,FALSE,TRUE,7.56000000000131,1,55,445,7,"fit_glaze_osc_zeta_v1_mouse",630.614663652125,630.870956558304
0.580544082974099,1.22763955351661,0.613983753850077,0,0.025,0,2.43661347507227,489.453919021526,98,98,NA,0,FALSE,TRUE,99.6399999999994,1,56,860,7,"fit_glaze_osc_zeta_v1_mouse",992.907838043053,993.039293442114
0.577024765149388,1.47594885455451,0,0.359200328255003,0.174473234310379,5.39442187808157,1.71482277464134,467.05633714572,150,150,NA,52,FALSE,FALSE,142.710000000001,1,57,788,7,"fit_glaze_osc_zeta_v1_mouse",948.11267429144,948.25626403503
0.514886073076888,0.905161171135211,6.22103255833912,0.0226638240948429,0.19162218817189,2.22162063160324,3.40360621980343,402.303680377948,103,103,NA,0,FALSE,FALSE,87.2699999999986,1,58,722,7,"fit_glaze_osc_zeta_v1_mouse",818.607360755896,818.764223500994
0.01,0.01,1.00023075074008,0.99997436102888,0.0500038458456681,2.400363060405,4.99989744411552,2908.09584152957,31,31,NA,0,FALSE,FALSE,25.2999999999993,1,59,696,7,"fit_glaze_osc_zeta_v1_mouse",5830.19168305914,5830.35447375682
0.602367564284776,1.17806185163238,0,0.346404233389672,0.0911459961689615,1.07943944824787,1.59563208204431,256.257471548657,150,150,NA,0,FALSE,FALSE,73.1099999999988,1,60,415,7,"fit_glaze_osc_zeta_v1_mouse",526.514943097314,526.790127372498
0.435935190178362,0.831733197466809,0.284363070734449,0.0659522114298375,0.197944568723887,0.0424706762140961,1.86906584575964,494.725583454549,33,33,NA,0,FALSE,FALSE,30.7600000000002,1,63,783,7,"fit_glaze_osc_zeta_v1_mouse",1003.4511669091,1003.59568303813
0.547905345685386,1.4553762747208,2.18286032269222,0.243608853932944,0.173005008352256,1.32844688718999,1.97806032547506,286.475370378053,105,105,NA,0,FALSE,FALSE,59.5399999999991,1,64,492,7,"fit_glaze_osc_zeta_v1_mouse",586.950740756106,587.182145714783
0.965231234314094,0.0161613996249473,0.0616075095169292,8.98140868743378,0.025,5.78729051149239,1.48297293138468,699.276648374461,63,63,NA,0,FALSE,FALSE,72.6100000000006,1,65,1016,7,"fit_glaze_osc_zeta_v1_mouse",1412.55329674892,1412.66440786003
0.01,0.0107961500426608,0.999955010713723,1.00036782050902,0.0490862460527069,3.25136593606269,4.99983480597565,1589.27024051667,30,30,NA,0,FALSE,FALSE,20.5799999999999,1,66,595,7,"fit_glaze_osc_zeta_v1_mouse",3192.54048103333,3192.73128171476
0.556095206869822,0.612537915795354,0.94595611694789,0.281982148104508,0.025,4.01750985501426,4.65479359170206,399.363819904158,111,111,NA,1,FALSE,FALSE,88.8500000000004,1,67,697,7,"fit_glaze_osc_zeta_v1_mouse",812.727639808316,812.890194235021
0.510857961862314,0.587484744652124,0,0,0.2,0.0116644111241527,5.95409639566387,483.011338507223,140,140,NA,1,FALSE,FALSE,139.25,1,68,875,7,"fit_glaze_osc_zeta_v1_mouse",980.022677014445,980.151858098644
0.552572430508653,0.697243892532348,0.90756275391479,0.321284345100768,0.2,5.63003994685148,4.73970004216403,332.322131439924,123,123,NA,0,FALSE,TRUE,115.23,2,21,829,7,"fit_glaze_osc_zeta_v1_mouse",678.644262879848,678.780681881066
0.52402846379426,2.4832046318683,0.205763758560643,0.12963182269264,0.0404568034816453,5.21097833755627,2.01677785732272,490.570290080841,82,82,NA,52,FALSE,FALSE,99.5099999999984,2,22,1057,7,"fit_glaze_osc_zeta_v1_mouse",995.140580161682,995.247348512492
