"subject_id","session_id","Stimulus_History","History","Accuracy","Imbalance","RT"
99,23,64.2857142857143,69.9284009546539,90.2857142857143,73.5714285714286,1836.79188481675
100,1,61.4730878186969,68.5552407932011,34.7457627118644,70.7344632768362,3325.86370656371
100,2,69.1111111111111,80.2222222222222,30.3769401330377,78.4035476718404,3109.85286103542
100,3,61.6643929058663,72.7148703956344,38.1471389645777,70.858310626703,3177.54214285715
100,4,59.6590909090909,66.1931818181818,43.6260623229462,67.1104815864023,3264.18051948052
100,5,57.967032967033,64.9725274725275,44.4444444444444,65.7887517146776,2807.94869565217
100,6,69.7050938337802,82.573726541555,28.0748663101604,78.475935828877,2608.12848484849
100,7,57.2254335260116,56.9364161849711,53.8904899135447,60.4610951008646,2729.79008264463
100,8,55.7463672391017,55.8784676354029,57.2559366754617,57.1767810026385,2680.77635135135
100,9,51.8735362997658,57.6112412177986,61.6374269005848,57.5789473684211,2380.67431421446
100,10,52.0612485276796,52.6501766784452,70.8235294117647,55.4705882352941,2240.40203562341
100,11,53.2608695652174,54.0372670807453,68.6821705426357,56.7596899224806,2095.8910016978
100,12,51.2084592145015,49.6978851963746,82.051282051282,52.5641025641026,1940.06228482003
100,13,51.8453427065026,52.8998242530756,83.5087719298246,52.4035087719298,1701.29022140221
100,14,53.9759036144578,52.7710843373494,80.7460890493381,51.7809867629362,2056.36415327565
100,15,55.5938037865749,54.2168674698795,81.2714776632302,52.4054982817869,1793.05460992908
100,16,50.0669344042838,50.7362784471218,89.0374331550802,50.7887700534759,1640.57764227642
100,17,53.7735849056604,57.5471698113208,84.7058823529412,51.5294117647059,1692.8907960199
100,18,48.4355444305382,57.185332011893,77.665544332211,50.9108910891089,1790.31912512716
100,19,51.3297872340426,53.3049040511727,78.9976133651551,50.8297872340426,1929.8
100,20,51.8886679920477,61.92,74.326750448833,51.8370607028754,2028.23075571178
100,21,49.5769881556684,53.4435261707989,83.7672281776417,50.3988995873453,1905.7581061693
100,22,53.0642750373692,54.6075085324232,85.6578947368421,50.7045454545455,1718.78113207547
100,23,52.6479750778816,51.4575411913815,85.531914893617,50.5189873417722,1813.86527415144
100,24,47.8813559322034,53.9735099337748,86.2523540489642,50.4297520661157,1712.45759162304
100,25,65.6195462478185,64.3419572553431,79.3584379358438,76.9662921348315,1812.45981308411
100,26,60.1366742596811,63.6363636363636,86.9718309859155,76.2861072902338,1852.45633001422
100,27,67.4911660777385,64.3529411764706,87.948350071736,76.8272620446534,1657.40769230769
100,28,62.2895622895623,61.1587982832618,77.3584905660377,77.1061093247588,2285.83818181818
100,29,66.1637931034483,66.0452729693742,88.047138047138,76.4095744680851,1763.77189631651
100,30,66.2517289073306,64.8672566371681,87.9690949227373,77.6127320954907,1682.90625574977
100,31,66.6107382550336,63.0456852791878,88.7596899224806,77.2616632860041,1801.0870967742
100,32,68.1008902077151,68.9108910891089,92.326431181486,77.3293768545994,1594.55613850997
100,33,66.4670658682635,64.4897959183673,88.0246913580247,77.2477064220184,1913.57782515992
100,34,63.4877384196185,58.5089141004862,77.8705636743215,75.631067961165,2056.79276437848
100,35,62.5482625482625,64.1558441558442,84.1772151898734,76.4980544747082,1523.85921938089
100,36,65.9380692167577,73.8738738738739,77.6671408250356,76.962879640045,1656.87523923445
100,37,64.3809523809524,74.0196078431373,80,76.6952264381885,1597.90824873096
100,38,65.5092592592593,72.8323699421965,78.9090909090909,76.1038961038961,1541.31308270676
100,39,67.8207739307536,68.4139784946236,80.9602649006623,76.3758389261745,1670.92330935253
100,40,67.5767918088737,69.9339207048458,78.7087912087912,77.029702970297,1763.23560517039
100,41,62.6436781609195,63.4446397188049,80.089485458613,75.2631578947368,1716.96829745596
100,42,62.5850340136054,68.9604685212299,86.5454545454545,76.0526315789474,1583.89757942512
100,43,67.0250896057348,62.4713958810069,75.8620689655172,73.9041095890411,1680.70544041451
100,44,60.1990049751244,66.4536741214058,77.2549019607843,71.4012738853503,2699.97799999999
100,45,65.0943396226415,61.5071283095723,79.1457286432161,74.5121951219512,1940.75309168443
100,46,67.097966728281,69.7399527186761,83.4564254062038,76.8122786304605,1818.20854271357
100,47,64,64.963503649635,87.9518072289157,76.7193195625759,1506.22988650694
100,48,56.7251461988304,61.8867924528302,86.3849765258216,69.8496240601504,1778.64157894737
100,49,61.7747440273038,64.6532438478747,77.3480662983425,73.9732142857143,1500.46953316953
100,50,62.6623376623377,59.3258426966292,77.027027027027,73.9461883408072,1549.30733695652
100,51,66.5242165242165,66.2768031189084,84.0188014101058,77.3709834469328,1724.7336713996
100,52,66.1971830985916,69.6120689655172,77.3841961852861,74.1935483870968,1703.71435643564
100,53,64.1541038525963,62.472885032538,82.7725437415882,77.0747562296858,1541.4671394799
100,54,65.8318425760286,67.1052631578947,81.3411078717201,76.7741935483871,2226.60831234257
100,55,64.3799472295514,70.1331114808652,83.3855799373041,77.7556109725686,1588.79413333333
100,56,66.9187145557656,70.8229426433915,78.9312977099237,76.6376089663761,1584.50818414322
100,57,61.6071428571429,72.952380952381,47.4820143884892,74.8669201520913,1654.6696347032
100,58,61.6788321167883,60.7228915662651,76.7647058823529,73.5096153846154,1527.93037249284
100,59,62.5,57.2895277207392,81.6377171215881,74.4672131147541,1350.70980861244
100,60,58.8932806324111,66.25,76.3239875389408,73.3416458852868,1285.72366863905
100,61,68.7203791469194,69.6261682242991,80.3468208092486,75.800933125972,1543.03410214168
100,62,64.7058823529412,70.2083333333333,75.5208333333333,74.3866943866944,1621.10812641083
100,63,61.353711790393,61.5384615384615,83.8652482269504,76.0869565217391,1605.60993975904
100,64,64.1176470588235,66.3479923518164,82.4644549763033,74.8473282442748,1652.17963340122
100,65,65.8959537572254,68.6298076923077,85.3252647503782,76.8667466986795,1723.49709228824
100,66,61.214953271028,62.9742033383915,84.7457627118644,75.9090909090909,1743.82389937107
100,67,63.7931034482759,62.5267665952891,83.8274932614555,74.2307692307692,1594.61524663677
100,68,66.4566929133858,70.2573879885605,78.2983970406905,77.4285714285714,1873.53310208126
100,69,61.336032388664,71.3907284768212,66.9950738916256,76.4285714285714,1703.35497896213
100,70,65.3932584269663,65.296803652968,84.9721706864564,75.8966565349544,2160.32123613312
100,71,67.0542635658915,68.1141439205955,83.5658914728682,76.6542750929368,1579.83904109589
100,72,66.0300136425648,66.0211267605634,86.6520787746171,77.6253298153034,1742.93235031278
100,73,63.4361233480176,79.7768479776848,74.5200698080279,76.3649025069638,1416.35615615616
100,74,68.8741721854305,80.5637982195846,75.591985428051,76,1267.43857868021
100,75,61.7328519855596,72.6327944572748,74.7838616714697,76.8858131487889,1456.21091127099
100,76,70.1378254211332,75.7604562737642,79.0613718411552,77.4358974358974,1265.59555774926
100,77,59.2233009708738,86.9431643625192,70.1348747591522,75.8588957055215,1190.82437106918
100,78,66.6193181818182,82.6655052264808,76.2430939226519,77.6501305483029,1217.12202643172
100,79,70.026525198939,73.5880398671096,78.0793319415449,75.5223880597015,1312.12419659736
100,80,63.0681818181818,69.6798493408663,83.2183908045977,74.9248120300752,1294.92201834862
100,81,62.4096385542169,76.2951334379906,77.9727095516569,75.7680250783699,1152.95393442623
100,82,64.0371229698376,70.8823529411765,78.348623853211,76.0352422907489,1161.94377049181
100,83,66.7711598746082,73.7092391304348,80.9045226130653,78.1670061099796,1195.54722412611
100,84,50,92.4528301886792,48.936170212766,50,2952.1821562793
101,1,62.655601659751,72.6141078838174,44.2148760330579,50,3686.30619469026
101,2,60,70,49.1228070175439,50,3191.85200000001
101,3,58.4837545126354,62.4548736462094,46.4028776978417,62.3741007194245,3487.61654676259
101,4,61.1111111111111,61.4657210401891,50.4132231404959,62.5147579693034,2698.31773940345
101,5,55.4121151936445,54.4190665342602,75.8928571428571,54.6230158730159,2611.69406286379
101,6,52.1333333333333,52.1333333333333,89.2143808255659,51.1717709720373,2485.84914772727
101,7,50.363196125908,51.9267822736031,88.9250814332247,50.7218479307026,2337.79434343435
101,8,50.1420454545455,53.4216335540839,90.6015037593985,50.4740904079383,2102.1816
101,9,51.0800508259212,54.5988258317025,88.6644219977553,50.5767350928641,2365.77958333333
101,10,49.7607655502392,50.2392344497608,88.5304659498208,50.2270011947431,2605.88636363636
101,11,50.7364975450082,50.7692307692308,94.4525547445256,50.4097311139565,2441.75890957447
101,12,50.8452535760728,51.4427860696517,89.6,50.4473161033797,2228.46522655427
101,13,51.5555555555556,55.3459119496855,86.5168539325843,50.4702194357367,2678.30195121951
101,14,51.9911504424779,52.5663716814159,81.8544366899302,51.05216622458,2229.38918669131
101,15,51.0845986984816,50.8225108225108,86.6471734892788,50.4930795847751,2213.5529143898
101,16,65.4879773691655,65.2993348115299,92.5972396486826,80,2184.5950991832
101,17,68.6567164179104,70.2508960573477,89.8666666666667,80,2102.85302267002
101,18,65.2631578947368,66.1268556005398,88.0368098159509,80,1825.27507122507
101,19,69.8019801980198,67.6691729323308,89,80,2010.68414154653
101,20,65.8441558441558,65.2128764278297,94.3155452436195,77.1991701244813,1866.78679446219
101,21,66.4359861591695,66.0458452722063,95.2904238618524,76.137339055794,1783.29147640792
101,22,67.7060133630289,71.1072664359862,91.5851272015656,75.3367875647668,1567.33745583039
102,1,61.1650485436893,49.5145631067961,46.1538461538462,63.3653846153846,3671.15625000002
102,2,52.2292993630573,51.5923566878981,53.1645569620253,60.126582278481,3628.59148936172
102,3,61.437908496732,68.6274509803922,35.0649350649351,71.2337662337662,3956.45348837209
102,4,58.4905660377358,63.5220125786163,40.625,65.8125,3169.97222222223
102,5,58.2914572864322,62.3115577889447,42,64.2,3655.77066666666
102,6,64.5739910313901,67.7130044843049,37.9464285714286,70.3571428571429,3352.21456310681
102,7,70.0404858299595,82.9959514170041,23.7903225806452,81.4112903225806,3633.32300884956
102,8,62.8125,73.75,42.3676012461059,69.190031152648,3270.52373737374
102,9,64.5,79.5,33.3333333333333,72.8358208955224,3280.73229166667
102,10,66.7493796526055,96.5260545905707,21.7821782178218,87.9950495049505,3436.11666666668
102,11,69.4214876033058,94.2148760330578,20.5761316872428,86.2962962962963,3303.65882352943
102,12,69.6808510638298,88.2978723404255,28.3819628647215,81.3527851458886,3083.34880546076
102,13,66.025641025641,86.5384615384615,29.9363057324841,77.1974522292994,3036.62439024389
102,14,64.7272727272727,79.2727272727273,32.2463768115942,76.1231884057971,3341.75824175824
102,15,72.7735368956743,97.4554707379135,19.2893401015228,89.1116751269035,2772.93146417447
102,16,72.6161369193154,81.9070904645477,29.7560975609756,78.4390243902439,2722.65722891566
102,17,70.595690747782,88.339670468948,25.3164556962025,83.506329113924,2611.08567073171
102,18,56.0919540229885,61.6091954022989,68.348623853211,58.9220183486239,2171.85823170733
102,19,56.3941299790356,54.2976939203354,84.5188284518828,53.2008368200837,2400.28193384224
102,20,57.6666666666667,57,70.8818635607321,54.4758735440932,2311.67704590818
