"p1","p2","p3","p4","p5","p6","p7","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","subject_id","session_id","trial_n","free_param","type","AIC","cAIC"
0.612232195042106,3.06293838287731,1.08484233561099,0.652688868762082,0.0315236321487576,2.80861566874702,0.999221617670298,275.219623818438,49,49,NA,0,FALSE,FALSE,20.3199999999999,1,30,583,7,"fit_glaze_osc_zeta_v4_mouse",564.439247636876,564.634030245571
0.395882522237953,2.31374083471332,3.81653521071856,0,0.0586146677627191,4.54485958952617,0.999,447.999218351675,185,185,NA,0,FALSE,FALSE,119.81,1,43,885,7,"fit_glaze_osc_zeta_v4_mouse",909.99843670335,910.126144799131
0.550307977894255,4.49261844936318,0.960030668201112,0.478139647681903,0.2,4.17226308443454,0.999,265.019925526101,115,115,NA,1,FALSE,TRUE,38.5599999999999,1,45,500,7,"fit_glaze_osc_zeta_v4_mouse",544.039851052201,544.267493328624
0.466224128473957,3.29891295270324,1.01282667825556,1.06475857858306,0.0887608885268338,3.08766845521014,1.001,364.711393373576,40,40,NA,0,FALSE,FALSE,16.0400000000002,1,48,597,7,"fit_glaze_osc_zeta_v4_mouse",743.422786747152,743.61293954851
0.527385370304633,3.87932236285833,1.05406358684155,0.657609861002725,0.0559797766194125,3.00218613711736,0.999,411.44322957689,48,48,NA,0,FALSE,FALSE,23.53,1,49,708,7,"fit_glaze_osc_zeta_v4_mouse",836.886459153781,837.046459153781
0.59698660835828,3.75262286176034,0.0431440850526473,0.63831229546519,0.0767483720537074,0.873009650484471,1.001,395.680226258874,114,114,NA,0,FALSE,FALSE,54.8599999999999,1,53,693,7,"fit_glaze_osc_zeta_v4_mouse",805.360452517749,805.523956167384
0.416791238322737,3.32096953662093,0.986947752077285,0.96644840798268,0.0386428637104416,3.14449946055539,1.00012606908107,597.782642185332,28,28,NA,0,FALSE,FALSE,18.99,1,54,998,7,"fit_glaze_osc_zeta_v4_mouse",1209.56528437066,1209.67841568379
0.0100361986748471,1.89690043084495,2.20689215648776,0.879212582243105,0.0562835819562314,2.7270281958613,1.001,279.653004651355,39,39,NA,0,FALSE,FALSE,12.4000000000001,1,55,445,7,"fit_glaze_osc_zeta_v4_mouse",573.30600930271,573.562302208889
0.661074667645219,3.6915471430577,1.01272463274759,0.418230409388165,0.0726657218758503,3.18531110307618,1.00055124390694,489.499617130253,101,101,NA,52,FALSE,FALSE,62.1700000000001,1,56,860,7,"fit_glaze_osc_zeta_v4_mouse",992.999234260506,993.130689659567
0.589775355246294,2.98554804417023,0,0.50021449008686,0.2,3.11336093585937,0.999267878285273,468.69802505114,109,109,NA,1,FALSE,TRUE,61.8200000000002,1,57,788,7,"fit_glaze_osc_zeta_v4_mouse",951.396050102281,951.539639845871
0.514105182740846,4.04150710148445,1.03420637320196,0.575269170472856,0.025,2.02763044944945,1.001,403.541632131737,86,86,NA,0,FALSE,TRUE,43.6399999999999,1,58,722,7,"fit_glaze_osc_zeta_v4_mouse",821.083264263475,821.240127008573
0.470218867317978,2.8278077695475,1.01928009556222,0.964436677480738,0.122004004470906,3.12166067161078,0.999,426.690891860618,59,59,NA,0,FALSE,FALSE,30.22,1,59,696,7,"fit_glaze_osc_zeta_v4_mouse",867.381783721237,867.544574418911
0.663077406850838,1.91080789199816,1.11285323213319,0.0795320689101149,0.172771225478797,3.24234509689199,0.999100961248981,256.9601736561,52,52,NA,0,FALSE,FALSE,15.24,1,60,415,7,"fit_glaze_osc_zeta_v4_mouse",527.920347312199,528.195531587384
0.397534514785412,2.4822212446845,1.01955867971418,1.03411687958051,0.147791629921717,3.16022519925311,1.001,490.272844855012,49,49,NA,0,FALSE,FALSE,28.75,1,63,783,7,"fit_glaze_osc_zeta_v4_mouse",994.545689710025,994.690205839057
0.55262656090062,6.11112889315324,1.11013218365338,1.67160817167133,0.141494739280882,2.92665124501728,0.999,279.98784670272,79,79,NA,0,FALSE,FALSE,29.1599999999999,1,64,492,7,"fit_glaze_osc_zeta_v4_mouse",573.97569340544,574.207098364118
0.615510745870082,7.94933427206342,1.00119317196206,0.883045211711478,0.093885912251441,3.19024733633236,0.999,507.643739774793,71,71,NA,52,FALSE,FALSE,54.3099999999999,1,65,1016,7,"fit_glaze_osc_zeta_v4_mouse",1029.28747954959,1029.3985906607
0.508377511112894,5.17381304357064,1.02453478953805,0.935649433167274,0.181546770614819,3.10880991312783,0.999000469118405,322.083075056111,48,48,NA,0,FALSE,FALSE,20.72,1,66,595,7,"fit_glaze_osc_zeta_v4_mouse",658.166150112223,658.356950793654
0.59816353422773,4.20063688133015,1.05398235622431,0.954432893942885,0.0265344536360216,3.13728909203987,0.999000058210551,400.330752388144,36,36,NA,0,FALSE,FALSE,16.8599999999999,1,67,697,7,"fit_glaze_osc_zeta_v4_mouse",814.661504776287,814.824059202993
0.517299927896122,5.21885190077354,1.01762532665777,0.839633655551841,0.0268147884780062,3.048629807476,1.001,478.11599144823,75,75,NA,0,FALSE,FALSE,44.6399999999999,1,68,875,7,"fit_glaze_osc_zeta_v4_mouse",970.23198289646,970.361163980658
0.663020064116377,3.38470163266437,1.17696670146637,0.183728866810963,0.100649411019805,3.27759893587061,1.001,336.539174201365,101,101,NA,0,FALSE,FALSE,57.75,2,21,829,7,"fit_glaze_osc_zeta_v4_mouse",687.07834840273,687.214767403948
0.545098187958814,7.41090755737407,1.06791899268787,0.791892398186148,0.0356938301889987,3.05753071463664,1.001,482.985142776742,75,75,NA,52,FALSE,FALSE,54.3500000000001,2,22,1057,7,"fit_glaze_osc_zeta_v4_mouse",979.970285553483,980.077053904294
0.554879608324659,4.65610641354955,1.00513585288481,0.462473518481746,0.137858778540454,2.81451333001179,0.999002133949349,443.892223181966,71,71,NA,0,FALSE,FALSE,39.0799999999999,2,25,809,7,"fit_glaze_osc_zeta_v4_mouse",901.784446363932,901.924271582409
0.612672579683044,2.90744229777554,1.00924891996316,0.349644128246054,0.145469273676858,3.02269481417627,0.999000865527581,503.269933078311,86,86,NA,0,FALSE,FALSE,50.8899999999999,2,26,864,7,"fit_glaze_osc_zeta_v4_mouse",1020.53986615662,1020.67070727812
0.678948284723148,5.80730403536435,0.946851013645535,1.24193414347084,0.115433497397507,1.99481198828615,0.999,370.83502290449,116,116,NA,0,FALSE,FALSE,52.8900000000003,2,27,673,7,"fit_glaze_osc_zeta_v4_mouse",755.67004580898,755.838466861612
0.483454544608369,7.98361396941494,0.984968270374964,1.00168690839846,0.046403573538431,3.13585864585293,1.00003646664824,449.751326304426,47,47,NA,0,FALSE,FALSE,29.8499999999999,2,28,927,7,"fit_glaze_osc_zeta_v4_mouse",913.502652608851,913.624524208416
0.435452053345778,8,1.02499733885326,0.801505638399562,0.0716823855093642,3.08814868341621,0.999,395.74360787754,43,43,NA,0,FALSE,FALSE,23.2799999999997,2,29,801,7,"fit_glaze_osc_zeta_v4_mouse",805.487215755079,805.628451568446
0.614148072346687,4.33794513328757,3.46557189368631,0.922450177378685,0.025,2.71026134281159,1.00061999860162,167.70622878859,108,108,NA,1,FALSE,TRUE,21.3200000000002,2,31,301,7,"fit_glaze_osc_zeta_v4_mouse",349.41245757718,349.794710136907
0.514117964774471,8,1.07479034281252,0.173927716880943,0.141993200996948,3.23068851464538,1.001,253.454483248959,52,52,NA,0,FALSE,FALSE,38.0999999999999,2,32,1062,7,"fit_glaze_osc_zeta_v4_mouse",520.908966497919,521.015228357501
0.493056903968953,4.90514993302941,1.02509639820289,0.94895002035989,0.175771248081538,3.19689923837209,0.999,341.741052765414,31,31,NA,0,FALSE,FALSE,13.1900000000001,2,35,629,7,"fit_glaze_osc_zeta_v4_mouse",697.482105530828,697.662459798139
0.503393993214638,8,1.05048843276675,0,0.192580532084024,3.16033453964209,1.001,284.63990741883,39,39,NA,0,FALSE,FALSE,19.1500000000001,2,39,726,7,"fit_glaze_osc_zeta_v4_mouse",583.27981483766,583.435803695599
0.443695272623242,3.92736560015785,0.813879321872039,0.849313576391434,0.0544293499981937,4.86655891147173,0.999,241.112589263621,122,122,NA,0,FALSE,FALSE,47.0599999999999,3,8,578,7,"fit_glaze_osc_zeta_v4_mouse",496.225178527242,496.421669755312
0.575104059008101,5.79959428673323,1.03097531188444,0.549573860836572,0.0353829747335178,2.59005934905808,0.999,278.709358296117,74,74,NA,0,FALSE,FALSE,34.9200000000001,3,9,703,7,"fit_glaze_osc_zeta_v4_mouse",571.418716592234,571.57986767137
0.563357524103488,8,1.54229329784076,0.291812838249264,0.0261301909409948,0.616519981557262,1.001,271.085964722283,79,79,NA,0,FALSE,TRUE,32.3799999999997,3,10,612,7,"fit_glaze_osc_zeta_v4_mouse",556.171929444567,556.357359908143
0.580536892466632,8,0.912566546756109,1.13112004862558,0.0464020933620187,0.619298217601722,1.001,300.498857392464,194,194,NA,0,FALSE,FALSE,80.4300000000003,3,11,617,7,"fit_glaze_osc_zeta_v4_mouse",614.997714784929,615.181622830906
0.315360912263959,1.9312352559509,0.895269876666647,0,0.0691471563843093,3.10453408423463,1.00099903199691,529.127903080209,50,50,NA,0,FALSE,FALSE,36.0799999999999,4,4,1056,7,"fit_glaze_osc_zeta_v4_mouse",1072.25580616042,1072.36267638942
