"p1","p2","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","subject_id","trial_n","free_param","type","AIC","cAIC"
0.406667276089604,2.46428887294871,1858.59016377934,16,16,NA,0,TRUE,TRUE,21.82,238,3500,2,"fit_glaze_osc_zeta_v4_no_amp",3721.18032755867,3721.1837590714
0.569713086701291,2.38727465882416,1991.19599823121,13,13,NA,0,TRUE,TRUE,21.36,239,3679,2,"fit_glaze_osc_zeta_v4_no_amp",3986.39199646242,3986.39526088027
0.553720222445775,2.48198504181876,1879.1831659564,16,16,NA,0,TRUE,TRUE,25.19,240,3531,2,"fit_glaze_osc_zeta_v4_no_amp",3762.36633191279,3762.36973327334
0.563376215713802,2.57032817346223,1861.24035773844,13,13,NA,0,TRUE,TRUE,20.22,241,3563,2,"fit_glaze_osc_zeta_v4_no_amp",3726.48071547689,3726.4840862634
0.505420471033076,2.62680402413487,1790.98065122658,13,13,NA,0,TRUE,TRUE,19.46,242,3467,2,"fit_glaze_osc_zeta_v4_no_amp",3585.96130245316,3585.9647666564
0.453174410287294,2.59059014419247,1807.65966353481,12,12,NA,0,TRUE,TRUE,18.45,243,3479,2,"fit_glaze_osc_zeta_v4_no_amp",3619.31932706963,3619.32277931359
0.513955077203282,2.59844794819894,1784.14330589313,10,10,NA,0,TRUE,TRUE,14.17,244,3434,2,"fit_glaze_osc_zeta_v4_no_amp",3572.28661178626,3572.29010930884
0.521331441811722,2.6644647918743,1800.55272394133,17,17,NA,0,TRUE,TRUE,24.41,245,3516,2,"fit_glaze_osc_zeta_v4_no_amp",3605.10544788267,3605.10886376653
0.511946987551954,2.56898833173387,1883.35168424924,11,11,NA,0,TRUE,TRUE,16.53,246,3603,2,"fit_glaze_osc_zeta_v4_no_amp",3770.70336849848,3770.70670183182
0.467073922601259,2.47760527295711,1887.54019092039,15,15,NA,0,TRUE,TRUE,22.6099999999999,247,3545,2,"fit_glaze_osc_zeta_v4_no_amp",3779.08038184079,3779.08376975722
0.517199677966809,2.6380463749099,1804.36812898528,16,16,NA,0,TRUE,TRUE,23.8100000000001,248,3503,2,"fit_glaze_osc_zeta_v4_no_amp",3612.73625797055,3612.73968654198
0.499359712692686,2.55841548047363,1889.44308536658,11,11,NA,0,TRUE,TRUE,16.14,249,3606,2,"fit_glaze_osc_zeta_v4_no_amp",3782.88617073316,3782.88950129103
0.0782384502225916,0.835277502319512,128.727088309136,15,15,NA,0,TRUE,TRUE,1.00999999999999,250,200,2,"fit_glaze_osc_zeta_v4_no_amp",261.454176618272,261.515090323856
0.482607754504387,3.89322084696624,75.3247075482725,12,12,NA,0,TRUE,TRUE,0.75,251,200,2,"fit_glaze_osc_zeta_v4_no_amp",154.649415096545,154.710328802129
0.346056681304037,2.66666414224175,101.062194450127,17,17,NA,0,TRUE,TRUE,1.04000000000008,252,200,2,"fit_glaze_osc_zeta_v4_no_amp",206.124388900254,206.185302605838
0.511891163907763,1.64868784261197,123.000254189841,18,18,NA,0,TRUE,TRUE,1.12,253,200,2,"fit_glaze_osc_zeta_v4_no_amp",250.000508379682,250.061422085266
0.01,0.388830639166012,124.653339169474,10,10,NA,0,FALSE,TRUE,0.6099999999999,254,200,2,"fit_glaze_osc_zeta_v4_no_amp",253.306678338947,253.367592044531
0.440488417614087,1.29336614063148,128.687417944536,15,15,NA,0,TRUE,TRUE,1,255,200,2,"fit_glaze_osc_zeta_v4_no_amp",261.374835889071,261.435749594655
0.358542879523817,2.22850897836007,110.709876388953,13,13,NA,0,TRUE,TRUE,0.829999999999927,256,200,2,"fit_glaze_osc_zeta_v4_no_amp",225.419752777905,225.480666483489
0.579895219738842,3.93228869889926,74.704477711135,10,10,NA,0,TRUE,TRUE,0.600000000000023,257,200,2,"fit_glaze_osc_zeta_v4_no_amp",153.40895542227,153.469869127854
0.01,0.7389022535869,97.4610952995527,10,10,NA,0,FALSE,TRUE,0.579999999999927,258,200,2,"fit_glaze_osc_zeta_v4_no_amp",198.922190599105,198.983104304689
0.399292445572524,1.19849843536727,129.726268935318,15,15,NA,0,TRUE,TRUE,1,259,200,2,"fit_glaze_osc_zeta_v4_no_amp",263.452537870636,263.51345157622
0.5589050380645,3.88813096023108,74.9658537439295,12,12,NA,0,TRUE,TRUE,0.870000000000005,260,200,2,"fit_glaze_osc_zeta_v4_no_amp",153.931707487859,153.992621193443
0.231240716668828,1.34875197768493,124.573652163464,12,12,NA,0,TRUE,TRUE,0.720000000000027,261,200,2,"fit_glaze_osc_zeta_v4_no_amp",253.147304326929,253.208218032512
0.486545227771645,2.58777598978939,104.08694047651,14,14,NA,0,TRUE,TRUE,0.969999999999914,262,200,2,"fit_glaze_osc_zeta_v4_no_amp",212.173880953021,212.234794658604
0.349745354300792,2.67113219833427,101.624658259149,9,9,NA,0,TRUE,TRUE,0.560000000000059,263,200,2,"fit_glaze_osc_zeta_v4_no_amp",207.249316518298,207.310230223882
0.713508035110136,4.10988190780621,73.8188009765504,10,10,NA,0,TRUE,TRUE,0.659999999999968,264,200,2,"fit_glaze_osc_zeta_v4_no_amp",151.637601953101,151.698515658685
