"p1","p2","p3","p4","p5","p6","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","subject_id","session_id","trial_n","free_param","type","AIC","cAIC"
0.55314520893722,0.239795542626267,0,0.2,6.280043714526,9.25594050053322,281.847194215205,139,139,NA,1,FALSE,FALSE,74.2299999999996,1,30,583,6,"fit_glaze_osc_zeta_v1_one_amp_mouse",575.694388430411,575.840221763744
0.487635624302921,2.24577045817727,0.378932291034436,0.025,0.474276316971689,1.11716821013836,441.303951065067,126,126,NA,0,FALSE,FALSE,101.32,1,43,885,6,"fit_glaze_osc_zeta_v1_one_amp_mouse",894.607902130134,894.70357411191
0.535094855839103,3.48478486316213,0,0.025,6.280043714526,1,265.861166104443,30,30,NA,0,FALSE,TRUE,14.0400000000009,1,45,500,6,"fit_glaze_osc_zeta_v1_one_amp_mouse",543.722332208886,543.892717604424
0.01,0.220353201425122,1.09472235993815,0.051894372548293,2.16964452040663,4.95790227681777,1755.72892294224,30,30,NA,0,FALSE,FALSE,17.9199999999983,1,48,597,6,"fit_glaze_osc_zeta_v1_one_amp_mouse",3523.45784588448,3523.60021876584
0.436665292720892,18.4945185539602,0.871124650492864,0.199129749864475,5.97087754229521,1,691.836430970203,55,55,NA,0,FALSE,FALSE,40.0699999999997,1,49,708,6,"fit_glaze_osc_zeta_v1_one_amp_mouse",1395.67286194041,1395.79269075638
0.582850342411548,2.89498413773563,0,0.025,0,1,399.140964272363,25,25,NA,0,FALSE,TRUE,17.7799999999988,1,53,693,6,"fit_glaze_osc_zeta_v1_one_amp_mouse",810.281928544725,810.404377524317
0.478581853607045,2.37377087969277,0,0.2,0,1,588.315094088688,22,22,NA,0,FALSE,TRUE,21.9599999999991,1,54,998,6,"fit_glaze_osc_zeta_v1_one_amp_mouse",1188.63018817738,1188.71495104317
0.01,0.0852887172122269,0.996240297788299,0.0483306779680733,1.38166593020242,4.98491829854515,1090.91473842206,39,39,NA,0,FALSE,FALSE,17.2799999999988,1,55,445,6,"fit_glaze_osc_zeta_v1_one_amp_mouse",2193.82947684412,2194.02125766603
0.419889044121467,0.0108167789810734,5.2815728270945,0.0467049271888001,3.81026625615768,7.0448046662408,583.33244414114,106,106,NA,0,FALSE,FALSE,94.6399999999994,1,56,860,6,"fit_glaze_osc_zeta_v1_one_amp_mouse",1178.66488828228,1178.76336424945
0.588231681439341,2.3574311520858,0,0.2,6.280043714526,1.00318754018035,470.057506307219,28,28,NA,0,FALSE,TRUE,21.9699999999975,1,57,788,6,"fit_glaze_osc_zeta_v1_one_amp_mouse",952.115012614439,952.222567031852
0.511143692179922,1.14221726870382,0.216426157613085,0.147970684048563,6.26564411151682,2.73793702150212,404.156682367295,63,63,NA,0,FALSE,FALSE,48.9699999999975,1,58,722,6,"fit_glaze_osc_zeta_v1_one_amp_mouse",820.31336473459,820.430847252072
0.462760022788177,1.92789431508317,0,0.025,6.280043714526,1,425.847900854286,91,91,NA,0,FALSE,TRUE,64.6900000000023,1,59,696,6,"fit_glaze_osc_zeta_v1_one_amp_mouse",863.695801708572,863.817717528601
0.279311345922049,0.99464769167848,1.61018373557881,0.0298891449720413,0,1,256.618335670637,63,63,NA,0,FALSE,FALSE,26.2700000000004,1,60,415,6,"fit_glaze_osc_zeta_v1_one_amp_mouse",525.236671341274,525.442553694215
0.432245081278271,1.56497645553184,0,0.025,6.27171393413059,1,494.942310191794,61,61,NA,0,FALSE,FALSE,48.4500000000007,1,63,783,6,"fit_glaze_osc_zeta_v1_one_amp_mouse",1001.88462038359,1001.99286780627
0.531945797199131,0.361994729280713,0,0.2,3.82264941714552,7.58313898371218,288.437135800359,128,128,NA,1,FALSE,FALSE,63.9399999999987,1,64,492,6,"fit_glaze_osc_zeta_v1_one_amp_mouse",588.874271600717,589.047467477006
0.01,0.0100000516688956,1.00000731716741,0.0500005253371419,4.29121406299504,5.0000040761747,3554.01813711396,180,180,NA,52,FALSE,FALSE,183.98,1,65,1016,6,"fit_glaze_osc_zeta_v1_one_amp_mouse",7120.03627422792,7120.11952497123
0.500338032677031,2.38290635316554,0,0.2,0,1.3444682148307,326.218560479365,23,23,NA,0,FALSE,FALSE,12.6800000000003,1,66,595,6,"fit_glaze_osc_zeta_v1_one_amp_mouse",664.43712095873,664.579978101587
0.54428802862027,0.266097722172522,0,0.025,6.280043714526,10,403.381471266903,116,116,NA,0,FALSE,TRUE,82.2000000000007,1,67,697,6,"fit_glaze_osc_zeta_v1_one_amp_mouse",818.762942533806,818.88468166424
0.510775461699908,1.6740095711502,0,0.025,6.280043714526,2.09064666355848,483.036827292728,23,23,NA,0,FALSE,TRUE,19.4200000000019,1,68,875,6,"fit_glaze_osc_zeta_v1_one_amp_mouse",978.073654585456,978.170428779005
0.562852999886567,1.94973533143508,0.131448512921595,0.0290555609749106,3.28003529231033,1.61455575378241,338.417711787023,161,161,NA,0,FALSE,FALSE,129.59,2,21,829,6,"fit_glaze_osc_zeta_v1_one_amp_mouse",688.835423574046,688.937613355067
0.523666750427452,1.77026043152547,0.355420268760846,0.0330226895436484,5.3414383192631,3.0333800945948,485.456870199559,68,68,NA,0,FALSE,FALSE,69.9199999999983,2,22,1057,6,"fit_glaze_osc_zeta_v1_one_amp_mouse",982.913740399118,982.993740399118
0.535335763604476,3.66687212978802,0,0.025,0,1,445.972960145256,30,30,NA,0,FALSE,TRUE,22.6399999999994,2,25,809,6,"fit_glaze_osc_zeta_v1_one_amp_mouse",903.945920290511,904.050658445125
