"p1","p2","p3","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","subject_id","session_id","trial_n","free_param","type","AIC","cAIC"
0.553381514440114,0.439719536100855,5.05030021833364,0.483453186457321,13,13,NA,0,TRUE,TRUE,1.67,1,30,583,3,"fit_glaze_osc_zeta_v1_no_amp_mouse",6.96690637291464,7.00835715011671
0.490193584382969,0.449295208684297,5.13190200285293,0.508023947692484,18,18,NA,0,TRUE,FALSE,4.39,1,43,885,3,"fit_glaze_osc_zeta_v1_no_amp_mouse",7.01604789538497,7.04328966610006
0.518151491314183,0.683143956582033,5.09829954642874,0.531810949466151,18,18,NA,0,TRUE,FALSE,1.95,1,45,500,3,"fit_glaze_osc_zeta_v1_no_amp_mouse",7.0636218989323,7.1120089957065
0.487302030672616,0.418571174867154,4.93968808158482,0.61860451135267,14,14,NA,0,TRUE,FALSE,1.83000000000001,1,48,597,3,"fit_glaze_osc_zeta_v1_no_amp_mouse",7.23720902270534,7.27768119808477
0.507436557856906,0.551946019725073,5.20569204653304,0.582492464679641,18,18,NA,0,TRUE,FALSE,2.87,1,49,708,3,"fit_glaze_osc_zeta_v1_no_amp_mouse",7.16498492935928,7.19907583845019
0.546968215005409,0.571510311687878,5.0394808669392,0.576417285137111,13,13,NA,0,TRUE,FALSE,2.09999999999999,1,53,693,3,"fit_glaze_osc_zeta_v1_no_amp_mouse",7.15283457027422,7.18766766171109
0.488557799967056,0.472333322377298,5.02048374011039,0.589554998976882,12,12,NA,0,TRUE,FALSE,2.92999999999999,1,54,998,3,"fit_glaze_osc_zeta_v1_no_amp_mouse",7.17910999795376,7.20325486716906
0.0117518227700483,0.0505437134563176,5.00006596953847,0.675478493442424,22,22,NA,0,FALSE,FALSE,2.09,1,55,445,3,"fit_glaze_osc_zeta_v1_no_amp_mouse",7.35095698688485,7.40537875559233
0.582267872102366,0.602214435492038,4.96613254781419,0.569972485954924,15,15,NA,0,TRUE,TRUE,2.95999999999999,1,56,860,3,"fit_glaze_osc_zeta_v1_no_amp_mouse",7.13994497190985,7.16798235508742
0.561772341759484,0.472265555338683,5.01470290217152,0.596586085355688,13,13,NA,0,TRUE,FALSE,2.22,1,57,788,3,"fit_glaze_osc_zeta_v1_no_amp_mouse",7.19317217071138,7.22378441560933
0.508784750953099,0.606545573909139,5.06361905528584,0.561208145704829,14,14,NA,0,TRUE,FALSE,2.25,1,58,722,3,"fit_glaze_osc_zeta_v1_no_amp_mouse",7.12241629140966,7.15584247525367
0.472987490611327,0.381129339472082,5.05464741359384,0.611910858326407,14,14,NA,0,TRUE,FALSE,2.18000000000001,1,59,696,3,"fit_glaze_osc_zeta_v1_no_amp_mouse",7.22382171665281,7.25850379757767
0.582697800851586,0.364975220973145,4.953154641202,0.620747993897249,13,13,NA,0,TRUE,FALSE,1.10999999999999,1,60,415,3,"fit_glaze_osc_zeta_v1_no_amp_mouse",7.2414959877945,7.29989014837844
0.444721584453069,0.350233571723368,4.46141718590293,0.632203467790738,17,17,NA,0,TRUE,FALSE,3.20000000000002,1,63,783,3,"fit_glaze_osc_zeta_v1_no_amp_mouse",7.26440693558148,7.2952156647214
0.532205151433975,0.551844307982529,4.97709954877259,0.586261157848197,14,14,NA,0,TRUE,TRUE,1.44,1,64,492,3,"fit_glaze_osc_zeta_v1_no_amp_mouse",7.17252231569639,7.22170264356525
0.529019627880149,0.987124087438935,5.02260442484627,0.505352534957951,14,14,NA,0,TRUE,FALSE,3.5,1,65,1016,3,"fit_glaze_osc_zeta_v1_no_amp_mouse",7.0107050699159,7.03442048493566
0.502379238590898,0.620641960182751,5.16321119676001,0.54826165047468,16,16,NA,0,TRUE,FALSE,2.11000000000001,1,66,595,3,"fit_glaze_osc_zeta_v1_no_amp_mouse",7.09652330094936,7.1371324380052
0.544743002796291,0.519604041895951,5.12050244938748,0.578749230239271,17,17,NA,0,TRUE,TRUE,2.73999999999998,1,67,697,3,"fit_glaze_osc_zeta_v1_no_amp_mouse",7.15749846047854,7.19213049511058
0.510754096060936,0.671118544024844,5.21659524000014,0.552014314483305,14,14,NA,0,TRUE,FALSE,3.03,1,68,875,3,"fit_glaze_osc_zeta_v1_no_amp_mouse",7.10402862896661,7.13158316398383
0.553732900708136,0.656350415379891,4.79170448234966,0.409545113537034,13,13,NA,0,TRUE,FALSE,2.41999999999999,2,21,829,3,"fit_glaze_osc_zeta_v1_no_amp_mouse",6.81909022707407,6.84818113616498
0.547778766679419,4.96654843444515,1,0.464419141109947,94,94,NA,0,TRUE,TRUE,24.01,2,22,1057,3,"fit_glaze_osc_zeta_v1_no_amp_mouse",6.92883828221989,6.95163030501192
0.516028046452999,0.733865630826003,4.98759389371946,0.551421468008283,12,12,NA,0,TRUE,FALSE,2.34999999999999,2,25,809,3,"fit_glaze_osc_zeta_v1_no_amp_mouse",7.10284293601657,7.13265660061284
0.56696605782235,0.490130678974511,5.03438450353072,0.583024475447648,12,12,NA,0,TRUE,TRUE,2.49000000000001,2,26,864,3,"fit_glaze_osc_zeta_v1_no_amp_mouse",7.1660489508953,7.19395592763948
0.622416672569528,3.19752918546855,1,0.561927828805708,61,61,NA,0,FALSE,TRUE,9.47,2,27,673,3,"fit_glaze_osc_zeta_v1_no_amp_mouse",7.12385565761142,7.1597300970733
0.48755744324003,0.982217870927622,4.9979334835847,0.49785983457437,12,12,NA,0,TRUE,FALSE,2.75,2,28,927,3,"fit_glaze_osc_zeta_v1_no_amp_mouse",6.99571966914874,7.02172183599598
