"Trial","Variable","Mean","Sd","Error","p"
2,"diff_acf_Stimulus",0.0313910877389026,0.037106479793896,0.00157842099781741,"< 0.05"
3,"diff_acf_Stimulus",-0.00854405601557638,0.0408494208899678,0.00173763676963,"< 0.05"
4,"diff_acf_Stimulus",0.0070231204931407,0.039370596992933,0.00167473113416905,"< 0.05"
5,"diff_acf_Stimulus",0.0087360045189427,0.0390708973489488,0.00166198262733869,"< 0.05"
6,"diff_acf_Stimulus",0.00867071523527114,0.0379735852603492,0.00161530559272304,"< 0.05"
7,"diff_acf_Stimulus",0.00803078782046707,0.0388019737480381,0.00165054325985237,"< 0.05"
8,"diff_acf_Stimulus",0.00825788755323705,0.0382581712793158,0.00162741120205373,"< 0.05"
9,"diff_acf_Stimulus",0.00888112369656723,0.0377543334815563,0.0016063575129795,"< 0.05"
10,"diff_acf_Stimulus",0.00789095539686367,0.0390485909138127,0.00166142510279804,"< 0.05"
11,"diff_acf_Stimulus",0.00804082735532689,0.0381072982026052,0.00162137532627901,"< 0.05"
12,"diff_acf_Stimulus",0.00692396434012729,0.0378351964437644,0.00160979804059279,"< 0.05"
13,"diff_acf_Stimulus",0.00748745115633093,0.0392180688013395,0.00166863598570359,"< 0.05"
14,"diff_acf_Stimulus",0.00687444265432766,0.037394294394317,0.00159103870214588,"< 0.05"
15,"diff_acf_Stimulus",0.00646315631348769,0.0377701748371,0.00160741031868546,"< 0.05"
16,"diff_acf_Stimulus",0.00584892689722796,0.0379409485926453,0.00161467805038138,"< 0.05"
17,"diff_acf_Stimulus",0.00733865387325352,0.0383173761527353,0.00163069792709458,"< 0.05"
18,"diff_acf_Stimulus",0.00558343029643136,0.0376320898562817,0.00160153374480196,"< 0.05"
19,"diff_acf_Stimulus",0.00669628208015615,0.0382230197210224,0.00162668233800547,"< 0.05"
20,"diff_acf_Stimulus",0.00604016805701256,0.0377033662849311,0.00160456710293133,"< 0.05"
21,"diff_acf_Stimulus",0.00520444990082,0.0384069155554793,0.00163450851469499,"< 0.05"
22,"diff_acf_Stimulus",0.00458141523723408,0.038610364088869,0.00164355430218077,"< 0.05"
23,"diff_acf_Stimulus",0.00576591781983488,0.0374960738696719,0.00159612153310809,"< 0.05"
24,"diff_acf_Stimulus",0.00528871458040561,0.0374323406893641,0.00159340855836261,"< 0.05"
25,"diff_acf_Stimulus",0.00603307518677441,0.0376800897213417,0.00160395466423281,"< 0.05"
26,"diff_acf_Stimulus",0.00438010530273057,0.0378241182638612,0.00161008562767438,"< 0.05"
27,"diff_acf_Stimulus",0.00510451477585188,0.0384746956051206,0.00163777920719275,"< 0.05"
28,"diff_acf_Stimulus",0.00503113068359142,0.037304364019726,0.00158796088619153,"< 0.05"
29,"diff_acf_Stimulus",0.00482132679412656,0.0378493788352052,0.00161116091203618,"< 0.05"
30,"diff_acf_Stimulus",0.00314569854233554,0.0375275381474022,0.00159746089496724,"< 0.05"
31,"diff_acf_Stimulus",0.0048433355008831,0.036890975066091,0.00157036387022822,"< 0.05"
32,"diff_acf_Stimulus",0.00432822025567489,0.0381540121965923,0.001624128452838,"< 0.05"
33,"diff_acf_Stimulus",0.00397951457347232,0.037650899298419,0.00160271209513746,"< 0.05"
34,"diff_acf_Stimulus",0.0025344375691298,0.0373473886413331,0.00159016742899756,"< 0.05"
35,"diff_acf_Stimulus",0.00291475712215136,0.0376149118317708,0.00160155796202843,"< 0.05"
36,"diff_acf_Stimulus",0.00434450115885915,0.0382518043868728,0.00162867540808658,"< 0.05"
37,"diff_acf_Stimulus",0.0033923477672576,0.0379303122168132,0.00161498699783611,"< 0.05"
38,"diff_acf_Stimulus",0.0024689849804148,0.0375980698182416,0.00160084086714369,"< 0.05"
39,"diff_acf_Stimulus",0.00391076135765262,0.0375821017542284,0.00160053869130582,"< 0.05"
40,"diff_acf_Stimulus",0.00285971266910738,0.0364759645988686,0.00155343075342033,"< 0.05"
41,"diff_acf_Stimulus",0.00353373346596329,0.0371328876882402,0.00158140765659162,"< 0.05"
42,"diff_acf_Stimulus",0.00370652704918419,0.0374929446054355,0.00159674168529529,"< 0.05"
43,"diff_acf_Stimulus",0.00342688550645164,0.0369319367609529,0.001572849600518,"< 0.05"
44,"diff_acf_Stimulus",0.00229421464396724,0.0364348711423905,0.00155204711164844,"< 0.05"
45,"diff_acf_Stimulus",0.00382892579558074,0.0377544891636501,0.00160825999985576,"< 0.05"
46,"diff_acf_Stimulus",0.00346053859738328,0.0377755683995412,0.00160953812083979,"< 0.05"
47,"diff_acf_Stimulus",0.00191457424648316,0.0375436547734629,0.00160003489006193,"< 0.05"
48,"diff_acf_Stimulus",0.00263551838951119,0.0374316598080645,0.00159563915464129,"< 0.05"
49,"diff_acf_Stimulus",0.00249672863501726,0.0377147598527796,0.00160808754856053,"< 0.05"
50,"diff_acf_Stimulus",0.00480996754177541,0.0373923498343275,0.00159509565707742,"< 0.05"
51,"diff_acf_Stimulus",0.00337611911583502,0.0372715305814637,0.00158994170803736,"< 0.05"
52,"diff_acf_Stimulus",0.00339304712309418,0.0363201840073857,0.00154935884027401,"< 0.05"
53,"diff_acf_Stimulus",0.00200077368604854,0.036494739561735,0.00155680509085454,"< 0.05"
54,"diff_acf_Stimulus",0.00202066702881546,0.0373975138640381,0.00159531594602425,"< 0.05"
55,"diff_acf_Stimulus",0.00311449326858373,0.0370713530863483,0.00158215212546699,"< 0.05"
56,"diff_acf_Stimulus",0.00272873846817689,0.036907336960659,0.00157515215270457,"< 0.05"
