"p1","p2","p3","p4","p5","p6","p7","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","subject_id","session_id"
0.551657883537273,0.416461216687362,1.46854443629887,0.109733233458757,0.0568411436050827,2.86641028085787,5.37664964821894,0.479952558513812,71,71,NA,0,FALSE,FALSE,35.8,1,30
0.520035664097966,0.567687908606536,3.93104093008627,0.352567032892195,0.0370160042321047,0.543518919239208,4.32157732490835,0.497790561125179,140,140,NA,0,FALSE,FALSE,101.2,1,43
0.516666105481527,0.744881336291344,4.69629218828407,0,0.127828067108991,4.72876253645065,4.73863949116029,0.527875714047902,93,93,NA,0,FALSE,FALSE,37.0999999999999,1,45
0.01,0.01,1.02405831403913,1.00001837984603,0.0504009719006522,3.14999058943902,4.99863698745961,3.19376626259103,24,24,NA,0,FALSE,FALSE,11.23,1,48
0.515559339091226,0.485418486452524,4.52251957892636,0,0.027682152803015,3.23976072262457,5.99243158215699,0.580474248550776,62,62,NA,0,FALSE,FALSE,35.2499999999999,1,49
0.01,0.0105573330583507,0.999884375954688,1.00000671382054,0.0502968639978545,3.14195231021054,4.99995052205035,2.98378985975673,30,30,NA,0,FALSE,FALSE,16.3600000000001,1,53
0.47698864957126,0.510027141492069,0.547210093932353,0,0.157464324593381,2.28198221230203,4.65440874553385,0.589280594103904,47,47,NA,0,FALSE,FALSE,37.8099999999999,1,54
0.50583915310388,0.413532755478531,8.56214072806493,0.417037873705469,0.2,1.99478348285537,5.27667635275102,0.613464805242301,74,74,NA,0,FALSE,FALSE,26.97,1,55
0.581705453540938,0.600198699199305,0.576252480880277,0.180012124387141,0.0306826158314256,3.8330324118402,5.10327375474717,0.568251633102823,165,165,NA,0,FALSE,FALSE,112.86,1,56
0.563048506437831,0.542749738312964,0.143617378807483,0.15616513665207,0.187761721426482,2.12397860815279,4.37321609776521,0.596123793099782,63,63,NA,0,FALSE,FALSE,39,1,57
0.510372853875826,0.691098368897054,0.778967082591765,0.285950274833605,0.025,1.99880453729161,4.58681759230554,0.558888099392651,53,53,NA,0,FALSE,FALSE,30.0599999999999,1,58
0.471392415721113,0.439725339435635,0.297130853634775,0.197364751699376,0.2,6.28318530717959,4.47767041510718,0.610752824819284,87,87,NA,0,FALSE,FALSE,49.7700000000002,1,59
0.578357618386887,0.443852234492139,0.640330908014176,0.622427935670582,0.0343797425677294,4.86982451123182,4.66387424101506,0.608842334969567,158,158,NA,0,FALSE,FALSE,56.4200000000001,1,60
0.520017313145773,0.344831074716857,3.23279403553866,0.157487229276612,0.2,2.03738536346019,4.63228678502582,0.632236890578261,112,112,NA,1,FALSE,FALSE,78.6199999999999,1,63
0.531275001065024,0.659561583023566,0,0.228804059545455,0.2,0,4.27441922905567,0.584758153841594,49,49,NA,0,FALSE,TRUE,20.5200000000002,1,64
0.01,0.0100002461448655,0.999972247396769,0.999999133987936,0.0515845767109574,3.14155661603143,4.99999265887592,4.0110875374618,52,52,NA,0,FALSE,FALSE,44.24,1,65
0.01,0.0388340587395115,0.0471375831870059,0.99921019672933,0.0263854821535337,4.04597776922138,4.57726408302715,0.639247237348281,39,39,NA,0,FALSE,FALSE,18.52,1,66
0.558683445555365,2.1119832156276,0,0.314199969130123,0.2,6.24447508422922,1.32869442754337,0.575680291498992,120,120,NA,1,FALSE,TRUE,65.75,1,67
0.497477247002449,0.515886807070939,4.95590659036369,0.315091782249199,0.0492328183038436,1.75668779797689,7.19393496693955,0.548998500307737,66,66,NA,0,FALSE,FALSE,45.8900000000001,1,68
0.56085541147088,0.703835316614543,0.532871964782062,0.192796266330136,0.170619091689648,4.17864997632337,4.52338166778031,0.406650178368859,67,67,NA,0,FALSE,FALSE,44.1000000000001,2,21
0.522714085368137,1.29608626048704,0.374044956858946,0.287492309577981,0.2,5.41169148937581,3.94369624305711,0.461213667863574,91,91,NA,0,FALSE,TRUE,76.72,2,22
0.548876213336693,0.846086332368821,0.589527310669512,0.882726642038577,0.0332345274126772,1.89193890055197,4.39558327155844,0.573212375913423,63,63,NA,52,FALSE,FALSE,40.6900000000001,2,25
0.50527296963412,0.307043525805216,6.95358799856831,0.18747985277126,0.025,0.96265805009509,8.30719796619229,0.5836892459175,31,31,NA,0,FALSE,FALSE,21.0599999999999,2,26
0.540614284763122,0.728158469379834,3.09719234298825,0.403564200778895,0.0830932406713433,2.48694978900612,4.73657050771346,0.553140493158025,111,111,NA,52,FALSE,FALSE,58.6500000000001,2,27
0.481392764554017,1.10030284145578,0.91008687443249,0.5089508703896,0.0253473738196155,3.39049915904335,4.80746306946436,0.493622100463655,163,163,NA,0,FALSE,FALSE,121.32,2,28
0.518175710703266,1.57806412709994,0.985629419870854,0.460816472842914,0.025,0.793494697559703,3.83591722904638,0.485532127705581,115,115,NA,1,FALSE,FALSE,73.2200000000003,2,29
0.521267347399786,0.703557565439369,0.561732270646624,0.392851349886667,0.0862042970113959,3.34712373481437,4.2697946149981,0.55942492452182,59,59,NA,0,FALSE,FALSE,13.48,2,31
0.50123576207338,1.79945188745696,7.92262621372424,0.166876907722165,0.0418199775820689,0.730109749341903,4.39465005719602,0.238353420021928,69,69,NA,0,FALSE,FALSE,57.8600000000001,2,32
0.497602123138858,0.883031058097825,4.88652278372147,0.504082632439676,0.0416109613243886,1.8094974619949,4.39022297799744,0.531713577573497,64,64,NA,0,FALSE,FALSE,31.6700000000001,2,35
0.504201407736932,2.3376429436023,2.55803562810579,0.396559871058032,0.025,3.38265008605073,5.97831320289276,0.365063704494141,90,90,NA,0,FALSE,FALSE,50.5999999999999,2,39
